Almond Beverage,Almond Milk,Beverage,Black Tea,Buttermilk,Chai,Coconut Milk,Coffee,Coffee Bags,Coffee Beans,Coffee Capsules,Coffee Creamer,Coffee Paste,Cold Brew Coffee,Cold Coffee,Combo,Detox Drink,Drink Mix,Filter Coffee,Flavoured Coffee,Flavoured Green Tea Bags,Flavoured Milk,Green Tea,Green Tea Bags,Health Drink,Health Juice,Herbal Juice,Hot Brew Coffee,Hot Chocolate,Iced Tea,Instant Coffee,Instant Coffee Premix,Instant Tea Premix,Juice,Kahwa,Lassi,Latte,Milkshake,Mix,Non-Dairy Drink,Nutrition Drink,Protein Health Drink,Roasted Coffee,Shake,Soy Beverage,Soy Milk,Soya Drink,Tea,Tea Bags,Tea Leaves,Thandai,Travel Kit
13,9,1,0,296,0,4,32,0,0,0,0,9,6,25,1,0,1,19,6,1,86,36,120,178,33,0,0,9,21,146,0,3,9,3,142,0,82,0,0,0,15,1,0,3,11,14,549,31,0,1,0
5,2,0,0,15,1,1,26,2,0,0,0,1,11,11,0,0,0,7,5,0,0,1,10,5,0,0,0,4,2,42,3,1,0,0,5,0,8,0,0,0,0,0,0,0,3,1,12,4,0,0,0
20,9,1,0,93,0,0,22,0,0,0,0,10,5,20,0,0,1,14,6,1,40,8,32,162,1,9,4,0,31,216,3,2,0,0,59,0,110,1,0,0,2,0,0,2,16,9,266,11,0,1,1
38,11,5,0,833,1,5,55,2,0,0,0,28,60,353,0,0,4,16,19,10,273,56,293,306,1,21,2,31,0,669,3,19,0,3,498,0,538,0,0,0,10,0,0,3,42,14,1662,80,0,9,1
171,85,11,0,2284,1,27,769,14,0,0,0,272,134,642,1,0,9,569,211,35,596,242,1483,1996,10,146,42,216,669,0,38,66,1,5,966,0,1027,1,0,0,47,85,0,20,174,82,10733,384,1,8,2
0,0,0,0,9,0,0,7,1,0,0,0,3,1,9,0,0,0,1,1,0,4,0,1,1,0,0,3,3,3,38,0,8,0,0,4,0,4,0,0,0,0,0,0,1,0,0,12,2,0,0,0
2,2,1,0,54,0,1,16,0,0,0,0,2,0,15,0,0,0,4,1,12,14,3,31,10,0,3,1,2,19,66,8,0,0,0,16,0,22,0,0,0,1,1,0,0,4,2,151,17,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,21,7,1,3,0,0,3,5,0,0,0,0,6,0,5,0,0,0,0,0,0,0,1,0,14,5,0,0,0
113,72,40,0,31080,1,15,104,1,0,0,0,36,152,1609,37,0,4,51,40,7,9653,61,334,739,13,142,5,59,498,966,4,16,1,6,0,0,8680,3,0,0,29,4,0,12,277,55,3982,94,0,125,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,128,101,0,7910,0,33,141,3,0,0,0,46,341,3453,69,0,29,137,38,19,13408,47,348,865,11,82,8,110,538,1027,4,22,1,5,8680,0,0,4,0,0,29,21,0,16,385,77,2838,76,0,102,1
1,1,0,0,3,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,56,0,1,7,0,0,0,0,1,0,4,0,0,1,6,1,1,22,6,30,157,2,15,0,2,10,47,0,1,0,0,29,0,29,0,0,0,0,1,0,3,6,3,221,6,0,0,0
1,0,0,0,17,0,1,40,0,0,0,0,1,1,7,0,0,0,107,1,0,7,2,18,84,0,1,0,0,0,85,0,1,0,0,4,0,21,0,0,0,1,0,0,0,0,1,279,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,15,4,0,27,0,2,3,0,0,0,0,0,1,7,0,0,1,7,4,0,5,0,7,7,0,3,0,2,3,20,1,0,0,0,12,0,16,0,0,0,3,0,0,0,30,31,21,1,0,1,0
277,136,5,0,496,0,18,33,0,0,0,0,6,13,65,0,0,0,14,15,6,179,14,88,77,1,11,3,16,42,174,0,4,0,1,277,0,385,0,0,0,6,0,0,30,0,335,325,16,0,4,0
106,36,2,0,174,0,7,9,0,0,0,0,1,1,10,0,0,1,6,7,1,39,4,36,31,1,14,1,9,14,82,0,2,0,0,55,0,77,0,0,0,3,1,0,31,335,0,162,6,0,3,0
211,121,17,0,8755,4,44,1023,2,0,0,0,268,84,545,8,0,16,904,133,94,2350,935,4339,10033,30,549,12,266,1662,10733,12,151,2,14,3982,0,2838,3,0,1,221,279,0,21,325,162,0,901,2,35,2
26,21,3,0,198,1,2,32,0,0,0,0,9,4,23,0,0,2,21,10,40,43,55,540,92,4,31,4,11,80,384,2,17,1,5,94,0,76,1,0,0,6,2,0,1,16,6,901,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4,3,2,0,97,0,0,1,0,0,0,0,1,1,24,2,0,4,2,1,0,98,1,3,4,0,1,0,1,9,8,0,0,0,0,125,0,102,0,0,0,0,0,0,1,4,3,35,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
