Ale,Beer,Beverage Gift Pack,Blending Water,Carbonated Water,Cocktail Mix,Cocktail Mixer,Coconut Water,Cold Pressed Juice,Combo,Concentrated Drink Mix,Drink,Drink Mix,Energy Drink,Energy Drink Mix,Flavoured Water,Fruit Drink,Hangover Drink,Hot Chocolate,Ice Cubes,Iced Tea,Juice,Lemonade,Malt Drink,Mango Drink,Masala Soda,Millet,Mineral Water,Mixer,Non-Alcoholic Beer,Non-alcoholic Drink,Packaged Water,Sharbat,Shots,Smoothie,Soda Water,Soft Drink,Sparkling Drink,Sparkling Water,Sports Drink,Squash,Syrup,Tonic Water,Water
573,733,2,0,10,210,2,2284,537,11,288,124,5,1644,261,432,397,4,1,961,3,5610,0,0,3444,345,2,24,0,2,1,0,390,0,36,1877,17307,0,451,583,87,104,379,0
182,350,3,0,2,80,1,670,120,1,3628,30,91,470,3008,108,182,1,0,54,0,4595,0,0,3662,302,13,0,0,0,4,390,0,1,14,1428,8464,0,40,128,1291,1214,64,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
10,29,0,0,0,8,0,51,68,1,15,17,0,36,7,6,78,0,0,5,0,731,0,0,191,7,1,0,0,0,0,36,14,0,0,27,246,0,11,11,1,14,3,0
2476,1406,1,1,25,1484,25,1202,466,8,818,68,16,1502,659,1004,559,7,0,1157,9,7984,0,0,3970,1377,2,4,6,4,15,1877,1428,1,27,0,30220,0,533,280,517,804,2624,0
9076,12447,19,0,60,3008,17,8728,2416,99,5116,832,98,15375,5912,3374,4174,25,5,3036,14,60023,0,0,52721,7166,25,16,8,40,77,17307,8464,2,246,30220,0,0,1207,3438,1720,2067,4702,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,191,1,0,14,178,0,203,104,2,29,10,3,117,22,164,100,3,1,47,2,513,0,0,170,66,1,0,1,0,0,451,40,0,11,533,1207,0,0,77,23,41,325,0
265,426,1,0,2,73,1,465,173,6,155,47,3,1348,154,71,201,2,0,53,2,1360,0,0,639,125,4,1,0,1,2,583,128,0,11,280,3438,0,77,0,26,38,51,0
70,107,0,0,0,41,0,184,48,0,491,4,17,100,324,31,56,2,0,10,0,1174,0,0,733,83,5,1,0,0,0,87,1291,0,1,517,1720,0,23,26,0,420,27,0
141,173,0,0,1,82,16,255,71,0,436,15,28,108,277,66,75,3,1,37,0,1240,0,0,720,126,6,0,1,0,0,104,1214,0,14,804,2067,0,41,38,420,0,106,0
3297,449,0,0,97,771,7,250,163,1,45,21,1,450,24,292,133,3,0,298,11,1407,0,0,306,89,0,2,18,7,5,379,64,0,3,2624,4702,0,325,51,27,106,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
