Almond Butter,Bread Roll,Bread Sticks,Brown Bread,Brown Eggs,Bruschetta,Bun,Butter,Cage Free Eggs,Cereal,Cereal Drink,Chapati,Cheese,Cheese Block,Cheese Cubes,Cheese Slices,Cheesy Triangle,Chocos,Coconut Milk,Coffee Creamer,Condensed Milk,Corn Flakes,Cream Cheese,Croissant,Curd,Dairy Whitener,Diced Cheese,Eggs,Fat Spread,Flakes,Flavoured Yogurt,Focaccia,Free Range Eggs,Fresh Cream,Fresh Milk,Frozen Yogurt,Fruit Bread,Garlic Bread,Granola,Greek Yogurt,Health Drink,Kadaknath Eggs,Khoya,Kulcha,Loaf,Milk,Milk Bread,Milk Powder,Mishti Doi,Muesli,Multigrain Bread,Non-Dairy Drink,Oat Flour,Oats,Oats Flour,Paneer,Parantha,Pav,Pizza Base,Porridge,Protein Rich Eggs,Pullet Eggs,Quinoa,Regular Vermicelli,Roasted Vermicelli,Salted Butter,Shrikhand,Sourdough,Soy Milk,Speciality Eggs,Tofu,Unsalted Butter,Vermicelli,Wheat Bread,Wheat Flakes,White Bread,White Eggs,Yogurt Drink
73,340,138,8818,1034,0,6370,3026,11,1681,10,83,1817,3852,4678,0,304,669,5,0,436,1098,185,4,14865,358,2703,596,481,92,2157,2,63,1357,16655,57,327,1650,21,1323,1986,1,41,406,265,6431,2780,0,1535,985,4531,0,0,1764,24,11699,437,1368,685,5,316,108,13,559,1176,20118,155,1,0,807,1208,595,81,14016,75,10873,7593,197
2,7,4,68,18,0,46,28,1,25,0,4,77,105,120,304,0,14,0,0,16,7,18,0,200,8,40,9,3,2,35,0,0,39,185,4,6,24,0,52,41,0,2,6,2,123,44,0,22,18,50,0,0,11,0,120,10,25,13,0,6,1,0,4,6,213,5,0,0,14,13,11,1,141,4,105,117,10
1,68,6,501,77,0,186,134,0,1019,2,1,56,149,123,669,14,0,0,0,56,1169,5,0,1341,64,113,46,28,37,218,0,5,74,1648,8,52,57,6,103,262,0,5,27,9,911,200,0,132,637,177,0,1,538,1,815,61,95,44,3,30,5,1,103,244,1210,31,0,0,69,92,28,21,782,53,625,603,20
1,1,1,4,2,0,1,1,0,3,0,0,0,4,0,5,0,0,0,0,3,1,0,0,33,2,3,1,1,0,4,0,0,7,34,0,1,2,0,3,5,0,0,0,1,21,3,0,6,1,3,0,0,3,0,21,0,0,0,0,0,0,0,0,6,15,0,0,0,1,7,0,0,7,0,7,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,53,6,367,91,0,205,124,0,139,1,5,84,215,143,436,16,56,3,0,0,96,99,0,2023,280,123,28,36,10,212,0,6,1360,3035,8,47,73,4,116,172,0,232,44,13,1234,244,0,240,61,134,0,1,133,2,1028,85,133,39,0,18,5,0,135,263,1431,35,0,0,58,92,167,42,538,2,563,420,26
10,101,24,1421,215,0,429,274,2,2611,4,14,79,241,234,1098,7,1169,1,0,96,0,11,2,3553,226,162,126,96,252,518,0,8,152,5107,11,91,122,16,213,442,1,10,72,31,2477,409,0,425,1856,513,0,0,2899,7,1970,114,265,55,12,56,29,6,375,695,2572,34,0,0,139,235,72,35,1851,133,1338,1455,51
1,3,5,65,25,0,47,25,0,20,0,2,167,110,84,185,18,5,0,0,99,11,0,0,252,17,60,6,6,0,44,0,2,261,159,2,5,39,0,60,22,0,1,1,3,105,27,0,14,11,53,0,0,27,0,108,15,16,11,0,9,4,0,2,3,263,2,1,0,12,27,82,3,114,1,69,115,9
0,3,1,2,5,0,1,2,0,1,0,0,0,0,1,4,0,0,0,0,0,2,0,0,8,0,0,0,1,0,2,4,0,0,7,0,1,4,0,3,1,0,0,0,0,9,0,0,1,0,4,0,0,2,0,5,1,0,0,0,0,0,0,0,0,4,1,5,0,1,0,0,0,7,0,3,6,2
232,2043,385,44871,5380,1,12461,5293,60,4733,81,630,1649,3488,3759,14865,200,1341,33,0,2023,3553,252,8,0,1745,2396,3224,2006,325,24851,4,376,7307,306531,718,1991,4064,105,12227,10814,9,394,2397,1181,70752,13234,0,27576,3762,16720,0,2,7850,87,112795,3488,7492,1188,20,1675,699,77,2087,4529,50124,1746,5,0,4598,8563,2252,280,61787,269,48791,48207,2252
4,43,8,402,102,0,170,84,0,163,2,11,33,110,102,358,8,64,2,0,280,226,17,0,1745,0,59,68,37,14,213,0,5,219,2063,13,45,58,1,91,124,0,29,20,20,951,213,0,247,106,185,0,0,315,2,875,60,106,19,0,25,9,0,66,129,1063,17,1,0,48,112,49,7,663,6,603,704,19
8,67,22,1057,88,0,781,762,1,250,1,15,399,885,659,2703,40,113,3,0,123,162,60,0,2396,59,0,81,118,22,318,0,6,427,2594,12,36,907,2,136,251,0,20,191,54,728,470,0,221,119,401,0,0,289,6,2182,75,382,2581,0,44,9,4,103,250,3198,16,0,0,59,309,117,4,1670,18,1975,755,27
7,0,17,1902,99,0,399,203,0,133,1,17,45,77,64,596,9,46,1,0,28,126,6,0,3224,68,81,0,60,11,334,0,0,92,4079,8,0,150,4,197,273,0,2,60,58,1378,453,0,248,118,768,0,0,268,2,1631,39,163,21,0,36,13,6,30,87,1579,3,0,0,17,215,66,1,2111,8,1834,268,29
25,11,5,1066,65,0,459,190,1,113,1,15,55,195,111,481,3,28,1,0,36,96,6,1,2006,37,118,60,0,18,210,0,0,156,2835,7,18,137,0,61,90,0,8,76,17,710,276,0,188,64,259,0,0,179,1,675,32,324,39,1,13,20,1,63,93,705,17,1,0,51,299,75,2,974,9,1779,681,14
1,7,3,117,20,0,49,22,0,230,1,6,9,34,22,92,2,37,0,0,10,252,0,0,325,14,22,11,18,0,54,0,2,16,413,1,11,13,2,42,47,0,0,12,1,211,36,0,30,175,48,0,0,191,2,171,8,30,10,2,3,5,2,25,56,195,4,0,0,14,30,7,4,155,23,123,131,3
65,696,67,4122,580,0,1774,831,7,1042,19,85,234,462,486,2157,35,218,4,0,212,518,44,2,24851,213,318,334,210,54,0,1,43,511,17305,532,402,627,50,10308,2686,1,29,240,127,5996,1159,0,10923,840,1982,0,3,1305,7,7356,479,908,161,7,158,48,11,222,495,4343,658,2,0,445,1371,216,21,5229,53,3416,4442,1864
0,0,0,0,1,0,0,3,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,1,0,7,0,0,0,1,1,0,0,1,0,6,1,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,3,0,1,0,0
0,20,10,117,65,0,6,17,0,20,0,0,4,13,21,63,0,5,0,0,6,8,2,0,376,5,6,0,0,2,43,0,0,11,289,0,19,7,0,69,30,0,1,0,0,201,42,0,19,18,106,0,0,29,0,189,30,21,5,0,1,0,2,4,10,138,7,0,0,54,13,15,1,232,2,97,79,0
