Almonds,Aloo Chips,Badi,Banana Chips,Bhakarwadi,Bhakarwadi Namkeen,Bhakri,Bhel Namkeen,Bhelpuri,Bhujia,Boondi Namkeen,Cashews,Chakli,Chana,Chana Jor,Cheese Balls,Cheese Cracker,Chips,Chivda Namkeen,Cocktail Nuts,Combo,Cookies,Corn,Corn Chips,Crisps,Dal,Dal Namkeen,Dried Mango,Flakes,Flavoured Almonds,Flavoured Cashew,Flax Seeds,Fryums,Gift Pack,Green Peas,Kachori,Kaju Badam,Khakhra,Khakhra Namkeen,Khari,Lachha,Makhana,Masala Kaju,Mathi,Mathri,Mathri Namkeen,Methi Mathi,Mix,Mixture,Mixture Namkeen,Murukku,Murukku Namkeen,Nacho,Nachos,Nachos & Salsa,Namak Para,Namakpara,Namkeen,Namkeen Mixture,Nuts,Pani Puri,Papad,Peanut Namkeen,Peanuts,Pita Chips,Popcorn,Potato Chips,Potato Stick,Potato Wafers,Puffs,Samosa,Seeds,Sev,Sevpuri,Snack,Soya Chips,Soya Sticks,Soyabeans,Sticks,Straws,Sweet Corn,Taco Shell,Taco Shells,Thattai,Trail Mix,Tub,Walnuts
19,131,50,1736,38,421,12,2427,93,5433,1700,35,175,469,48,1032,2,12849,274,67,716,0,5,0,14955,0,1233,12,28,49,32,14,14,0,63,35,4,392,20,4,92,2287,5,18,264,79,15,98,20,2863,12,646,0,6041,948,0,40,10683,7,27,19,2891,3561,2,80,0,19357,7,89,6383,23,55,451,17,280,64,385,35,128,27,27,26,29,2,47,56,2
83,1058,166,13122,163,2059,26,10122,263,26445,6716,153,764,1441,116,7035,1,144952,1388,268,3560,1,20,0,144245,0,5772,29,93,177,136,40,36,0,191,136,26,1119,91,9,519,7102,20,129,1347,350,74,464,109,13136,62,3250,0,38086,4670,0,137,57352,51,46,52,7817,22530,4,501,19357,0,46,505,53929,128,168,2142,66,1285,448,3164,114,537,100,37,124,102,4,115,53,4
0,2,0,2,0,2,0,10,0,16,7,1,0,1,0,3,0,19,3,0,0,0,0,0,28,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,3,2,0,1,0,12,0,5,0,11,1,0,0,34,0,0,0,3,12,0,0,7,46,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,138,10,171,19,28,2,95,1,218,64,2,0,38,2,25,0,340,15,3,19,0,8,0,327,0,56,1,1,1,3,1,1,0,5,0,0,10,1,0,82,70,0,21,51,9,7,10,27,137,0,95,0,114,21,0,33,602,2,1,4,93,272,0,0,89,505,2,0,147,8,6,16,2,12,0,8,5,4,1,0,0,0,0,2,0,0
20,349,62,3487,54,612,12,3463,125,7924,2069,35,173,494,54,3316,0,34749,339,65,1263,0,17,0,55948,0,1751,11,51,64,60,13,13,0,53,43,8,418,38,2,185,2565,6,43,407,102,27,161,31,3699,16,971,0,10606,1624,0,56,20239,33,31,18,2456,5847,4,195,6383,53929,9,147,0,37,63,589,18,346,167,1207,66,225,66,14,52,38,0,55,21,1
4,8,14,49,22,59,0,32,1,70,17,4,8,6,1,6,0,78,25,6,4,0,2,0,83,0,23,0,1,0,0,1,0,0,1,4,3,20,0,0,5,23,1,18,38,14,17,2,0,80,11,27,0,44,4,0,22,230,0,0,0,18,67,0,1,23,128,0,8,37,0,2,21,3,6,0,1,0,3,0,0,0,1,0,2,0,0
13,4,1,42,1,10,0,30,12,31,15,10,5,13,13,11,1,136,8,46,6,0,1,0,89,0,15,11,6,8,5,5,0,0,35,2,0,14,0,0,3,105,0,0,5,1,0,31,0,40,0,22,0,49,14,0,3,220,3,5,0,22,64,2,3,55,168,0,6,63,2,0,12,2,108,2,3,10,6,4,0,0,0,0,9,0,0
1,15,21,688,11,292,3,846,9,2276,663,3,103,129,5,98,0,1170,421,11,59,0,0,0,1484,0,618,3,1,8,3,0,4,0,8,22,5,161,14,4,40,161,1,7,113,22,3,8,7,1857,12,381,0,527,44,0,11,3941,1,2,14,625,894,0,8,451,2142,0,16,589,21,12,0,24,43,22,44,2,27,3,0,3,1,0,2,2,0
1,5,2,22,3,12,1,43,43,24,9,0,4,6,1,4,0,40,6,6,5,0,1,0,53,0,11,2,0,0,0,0,1,0,3,1,0,10,2,0,2,34,0,0,4,2,1,1,0,23,2,9,0,21,7,0,1,94,0,2,33,23,31,0,3,17,66,0,2,18,3,2,24,0,10,3,1,0,5,0,0,1,1,0,2,0,0
42,15,8,241,9,66,2,188,37,330,96,44,36,58,31,67,1,1073,50,228,48,0,5,0,646,0,94,12,20,27,12,2,1,0,122,12,0,63,4,0,22,523,0,12,33,12,2,103,5,190,3,125,0,483,112,0,6,1249,17,21,4,143,601,3,12,280,1285,0,12,346,6,108,43,10,0,7,24,28,36,5,0,4,3,0,24,2,0
0,0,0,133,0,43,2,122,3,110,30,1,27,8,0,37,0,200,17,3,18,0,0,0,373,0,41,0,0,2,0,0,0,0,2,9,0,21,0,2,0,30,0,0,0,0,0,0,0,49,0,22,0,95,17,0,0,260,0,0,2,34,79,0,5,64,448,0,0,167,0,2,22,3,7,0,18,0,6,2,0,0,4,0,1,1,0
0,16,3,282,2,46,0,239,4,411,87,1,17,22,3,764,1,2208,28,4,86,0,0,0,3083,0,85,0,3,2,1,1,1,0,4,4,0,22,2,0,11,161,3,3,10,6,0,8,1,204,0,62,0,672,129,0,1,1014,1,3,1,126,330,0,15,385,3164,0,8,1207,1,3,44,1,24,18,0,2,17,2,1,5,3,0,1,2,0
3,3,2,37,2,3,0,19,5,33,9,1,0,32,78,2,1,156,3,7,7,1,0,0,79,0,10,2,32,6,2,19,0,0,9,0,0,3,1,0,3,149,0,3,7,2,1,17,0,27,0,10,0,30,8,0,1,151,17,5,1,20,55,1,1,35,114,0,5,66,0,10,2,0,28,0,2,0,7,1,0,0,0,0,26,0,0
2,2,0,110,6,45,2,89,11,113,22,1,34,19,14,34,0,519,26,1,52,0,0,0,454,0,31,2,14,8,2,1,0,0,8,4,1,59,0,1,4,170,2,4,4,2,0,5,0,67,0,38,0,167,52,0,2,420,4,4,5,49,113,0,12,128,537,1,4,225,3,6,27,5,36,6,17,7,0,9,1,2,2,0,10,1,0
1,2,0,21,0,2,0,16,8,17,2,0,1,3,0,6,0,146,3,1,3,0,0,0,94,0,4,2,6,3,2,0,0,0,0,1,0,10,1,0,0,71,0,0,0,0,0,3,0,5,0,2,0,33,4,0,0,69,5,2,1,12,14,0,3,27,100,0,1,66,0,4,3,0,5,2,2,1,9,0,1,0,0,0,4,0,0
0,2,0,2,0,1,0,7,0,7,4,0,0,1,1,0,0,21,0,1,1,0,0,0,31,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,2,0,1,0,4,0,1,0,11,0,0,0,22,0,0,0,7,8,0,0,27,37,0,0,14,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
0,1,0,14,0,1,0,20,1,24,5,0,0,4,0,9,0,105,0,1,21,0,0,0,92,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,2,16,0,0,1,0,0,0,1,5,0,1,0,93,34,0,2,56,0,0,0,10,18,0,5,26,124,0,0,52,0,0,3,1,4,0,5,0,2,0,1,0,21,0,0,0,0
0,2,2,14,0,4,0,12,1,16,6,0,0,2,1,7,0,87,2,2,15,0,0,0,81,0,3,1,0,0,0,0,0,0,1,1,0,2,0,0,2,7,0,0,2,0,0,2,0,10,0,6,0,53,11,0,0,46,1,0,0,7,18,0,2,29,102,0,0,38,1,0,1,1,3,4,3,0,2,0,0,21,0,0,1,0,0
0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,29,1,5,0,26,8,40,11,9,2,11,38,4,0,136,1,13,7,2,0,0,74,0,4,2,20,12,1,15,0,0,5,1,1,8,1,0,2,149,0,0,3,2,1,21,0,18,0,9,0,41,9,0,1,139,25,3,1,27,40,1,2,47,115,0,2,55,2,9,2,2,24,1,1,26,10,4,0,0,1,0,0,0,0
0,2,0,7,1,2,0,5,1,10,4,0,3,0,0,8,0,39,0,1,3,0,0,0,49,0,2,0,0,0,1,0,1,0,1,0,0,4,0,0,0,12,1,0,1,1,0,1,0,3,0,4,0,22,8,0,1,19,0,0,1,3,8,0,1,56,53,0,0,21,0,0,2,0,2,1,2,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,6,0,0,0,0,3,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
