Ambemohar Rice,Arhar Dal,Atta,Bajra,Bajra Flour,Barley,Barley Flour,Barnyard Millet,Basmati Rice,Besan,Big Sabudana,Biryani Kit,Black Masoor Dal,Black Rice,Boiled Ponni Rice,Broken Rice,Brown Basmati Rice,Brown Sona Masuri Rice,Chana Dal,Corn Flour (Starch),Couscous,Daliya,Dhania Dal,Dosa Rice,Dubar Basmati Rice,Flour,Foxtail Millet,Glutinous Rice,Govindo Bhog Rice,Gram,Green Chana,Green Dried Peas,Horse Gram,Idli Rice,Jeera Rice,Jowar,Jowar Flour,Kabuli Chana,Kala Chana,Khichdi Mix,Kodo Millet,Kolam Rice,Kuttu Flour,Little Millet,Lokwan Wheat,Maida,Makki Atta (Maize Flour),Malka Masoor,Masoor Dal,Masoor Whole,Matta Rice,Mix,Mix Dal,Mix Flour,Mogra Basmati Rice,Moong (Sabut),Moong Dal (Chilka),Moong Dal (Dhuli),Moth Dal,Multigrain Atta,Organic Daliya,Parmal Rice,Pearl Millet,Pesticide-Free Daliya,Poha,Ponni Rice,Popcorn Kernels,Powder,Proso Millet,Puffed Rice,Quinoa,Ragi,Ragi Flour,Rajgira Flour,Rajma Chitra,Rava,Raw Ponni Rice,Raw Sonamasuri Rice,Red Lobiya,Red Poha,Red Rajma,Rice,Rice Flour,Roasted Dal,Roasted Sooji,Sattu,Sharbati Atta,Sharbati Wheat,Singhara Flour,Small Sabudana,Sonamasuri Rice,Sooji,Soya Chunks,Soya Granules,Soya Mini Chunks,Soyabean Flour,Soyabeans,Steam Sonamasuri Rice,Sugar Release Control Atta,Sushi Rice,Thick Poha,Thin Poha,Tibar Basmati Rice,Urad (Sabut),Urad Dal (Chilka),Urad Dal (Dhuli),Urad Gota,White Dried Peas,White Lobiya
1,205,317,2,167,4,0,3,109,232,13,0,27,0,1,0,6,2,129,37,0,61,0,5,9,2,2,0,0,4,0,2,6,8,4,0,203,84,110,4,2,13,12,2,1,141,0,37,55,0,3,0,11,16,48,66,49,107,10,76,0,11,2,0,58,0,9,0,0,8,2,1,153,23,60,2,0,10,2,1,33,1,106,3,15,47,59,1,2,37,0,200,36,7,24,28,4,11,0,0,141,30,2,18,18,44,12,19,15
6,19859,12166,6,39,6,0,3,5143,10167,100,1,5499,0,10,0,67,42,14435,211,0,2702,0,35,192,1,2,0,1,50,2,93,59,81,20,0,64,9373,8974,110,3,85,19,3,4,2898,37,0,758,10,2,2,1530,108,4051,2703,5781,13199,244,690,16,475,1,0,657,0,110,0,0,133,5,8,120,8,9161,7,0,100,96,4,1103,119,214,61,124,723,560,2,0,611,0,6995,2048,261,1379,18,15,243,1,0,5939,305,30,2267,3894,2683,161,1164,1014
48,22967,12674,15,76,18,0,7,8475,10582,285,0,5967,0,26,2,178,67,14543,345,0,2775,1,78,372,3,13,0,5,124,3,104,68,177,50,4,136,10030,8571,112,15,442,25,13,48,3263,55,758,0,12,7,11,2661,106,3373,4447,6607,20789,421,1463,15,412,4,1,2282,1,78,2,4,198,38,17,218,15,7896,22,0,277,128,10,1916,69,350,111,223,720,1307,33,2,937,0,8480,2096,387,1597,22,35,345,12,0,6443,546,62,2319,3144,3868,213,1337,1270
0,139,83,0,0,0,0,0,58,35,0,0,9,0,0,0,3,3,77,8,0,6,0,3,2,0,0,0,2,5,0,7,1,3,2,0,0,48,52,0,0,12,0,0,0,35,0,10,12,0,1,0,2,0,13,32,32,124,2,9,0,6,0,0,21,0,1,0,0,0,0,0,8,0,20,0,0,11,0,1,23,1,8,5,5,0,15,0,0,9,0,37,19,4,9,0,1,10,1,0,29,15,1,5,7,33,8,10,7
0,94,83,0,0,3,0,2,47,23,0,0,1,0,10,0,3,5,33,5,0,15,0,45,9,0,7,0,0,7,0,7,7,70,26,0,9,22,42,0,7,26,0,11,0,18,3,2,7,1,0,0,0,2,3,71,6,39,1,12,0,2,3,0,14,1,0,1,1,5,0,5,19,0,6,2,0,37,14,7,5,0,61,9,36,1,28,2,0,7,0,55,10,1,1,0,3,19,3,0,22,16,0,1,1,56,36,2,3
0,38,18,0,0,1,0,0,12,15,1,0,2,0,1,0,1,2,20,2,0,3,0,6,1,0,0,0,0,3,0,0,1,8,1,0,1,11,14,0,0,5,0,0,0,12,0,2,11,0,0,0,3,3,1,12,7,20,0,6,0,1,0,0,22,0,0,3,0,2,0,0,10,0,7,3,0,7,1,1,3,0,11,3,7,1,8,1,0,3,0,27,5,0,1,0,0,1,1,0,9,4,0,6,1,15,9,5,3
5,5882,4754,8,22,2,0,0,3066,3930,71,0,2452,0,0,1,51,29,4346,80,0,1207,0,2,113,1,2,0,0,3,4,50,35,28,1,2,38,4395,3437,202,0,33,16,0,4,940,11,1530,2661,2,0,3,0,78,1278,1236,2175,3795,217,489,9,170,0,2,487,0,36,1,0,68,9,1,48,7,3966,1,0,10,67,1,982,33,68,4,59,213,357,2,1,287,0,2775,824,164,779,7,5,50,0,0,2786,115,34,866,1090,934,24,557,618
7,459,490,4,34,1,0,2,256,486,40,1,115,0,1,0,12,7,268,50,0,158,0,5,23,14,9,0,0,11,0,11,4,15,2,2,63,357,240,19,4,26,11,4,1,237,16,108,106,0,2,3,78,0,65,120,138,301,28,126,1,13,1,1,99,0,12,2,0,12,0,3,57,31,212,5,0,22,4,3,69,5,89,4,25,89,111,4,6,88,0,473,77,19,66,16,0,9,4,0,379,40,3,93,64,123,17,74,40
20,14111,22299,15,34,5,0,0,3164,8134,176,1,2262,0,4,5,88,45,7568,228,0,2198,1,33,225,5,2,0,2,31,3,58,27,107,23,3,61,5234,5359,57,1,63,17,2,63,2629,48,4051,3373,13,3,1,1278,65,0,1508,2404,5546,139,1226,22,250,1,1,1076,2,68,2,0,249,10,5,101,11,4670,2,0,51,44,4,834,97,237,18,101,771,1049,52,2,778,0,6545,1763,195,1344,13,10,117,1,0,6088,357,55,990,1503,1657,100,924,446
47,13653,7954,19,85,67,0,28,4711,8138,318,0,3276,3,25,4,183,79,10682,311,0,2681,2,273,247,3,80,0,5,616,3,265,375,468,88,8,235,8542,12628,87,39,458,30,41,42,2464,66,2703,4447,32,71,12,1236,120,1508,0,5369,12584,1479,1194,25,232,24,1,2025,2,96,3,14,205,33,57,545,28,6314,59,1,427,355,27,1676,48,794,447,422,533,1270,59,5,1210,0,8879,1616,367,1249,18,78,228,12,0,6268,847,45,2870,2067,4133,828,1371,1889
34,18093,10058,22,77,21,0,8,6698,11461,288,1,5828,1,6,4,179,67,13594,213,0,4615,3,40,374,2,22,0,3,87,3,79,81,132,23,2,134,10181,8522,153,14,192,43,13,11,2569,49,5781,6607,32,6,7,2175,138,2404,5369,0,16311,643,1138,25,367,9,5,1908,2,104,2,3,178,37,16,183,35,9086,11,0,93,147,13,1771,98,239,91,194,421,1118,39,2,1083,0,9530,1601,360,1321,22,18,132,3,0,7759,538,85,2737,4968,3729,148,1064,1441
149,48795,24516,42,129,85,0,33,15077,23651,692,1,8574,3,65,9,364,185,32986,729,0,7433,7,466,809,12,92,0,16,1067,8,336,260,975,217,14,350,21108,17911,210,42,1189,67,71,112,7794,107,13199,20789,124,39,20,3795,301,5546,12584,16311,0,1221,2963,54,758,25,4,5071,3,222,14,11,479,67,75,856,62,17829,110,1,1015,400,49,3574,158,1492,888,960,1260,3352,129,6,2664,0,23571,3719,778,2861,33,62,623,40,0,16678,1753,140,5602,5895,11838,1817,2931,2941
22,1351,663,3,13,7,0,7,425,927,81,0,513,0,3,2,14,11,1009,24,0,273,1,16,32,1,11,0,0,29,1,31,91,47,4,2,55,978,1178,26,3,98,3,5,21,288,10,244,421,2,1,0,217,28,139,1479,643,1221,0,90,1,25,3,1,246,0,13,1,1,19,4,8,57,4,681,4,0,32,78,2,264,4,70,31,42,41,135,16,1,194,0,972,163,47,128,6,24,14,0,0,688,131,10,293,269,491,33,288,449
21,5268,1932,11,64,6,0,11,4849,3884,92,0,836,0,14,2,171,72,2627,160,0,1201,3,92,257,2,22,0,2,174,0,53,45,160,42,1,150,2221,2095,33,4,246,29,14,2,1287,76,690,1463,9,12,6,489,126,1226,1194,1138,2963,90,0,16,158,4,1,1127,2,36,4,2,98,14,11,370,16,1703,24,1,284,40,17,503,34,326,99,202,340,1008,1,2,470,0,4197,651,119,557,21,8,181,8,0,3073,382,45,460,458,974,259,400,260
0,62,62,0,0,2,0,0,38,49,6,0,18,0,0,0,5,3,45,2,0,47,0,1,4,0,1,0,0,2,0,0,1,2,0,0,3,29,47,0,0,1,1,1,0,13,0,16,15,0,0,0,9,1,22,25,25,54,1,16,0,0,0,0,34,0,3,0,0,2,0,0,3,1,26,0,0,2,2,0,6,1,1,0,2,7,8,0,0,14,0,85,14,3,8,2,0,2,1,0,55,5,0,9,10,15,3,5,7
3,1740,2842,3,10,3,0,1,743,914,22,0,238,0,0,1,23,6,1042,40,0,285,0,12,46,0,0,0,2,7,0,9,6,45,4,0,28,621,644,20,0,23,4,3,8,316,11,475,412,6,2,1,170,13,250,232,367,758,25,158,0,0,1,0,177,0,4,0,0,63,0,2,32,3,525,3,0,21,2,0,147,43,55,7,19,91,159,7,1,124,0,863,219,15,167,4,2,56,0,0,859,60,13,155,164,281,28,129,60
0,40,21,0,0,14,0,41,8,10,0,0,1,0,2,0,2,2,24,0,0,8,0,5,0,0,53,0,0,9,0,2,6,12,2,0,4,6,19,0,41,1,0,43,0,6,2,1,4,0,3,0,0,1,1,24,9,25,3,4,0,1,0,0,5,0,6,0,25,2,0,24,9,0,2,1,0,7,2,1,4,0,13,12,7,1,8,6,0,13,0,26,2,1,1,0,3,1,0,0,16,2,0,10,2,18,15,1,1
0,5,5,0,0,0,0,0,2,5,0,0,4,0,0,0,1,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,1,5,4,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,1,0,2,0,0,0,0,9,3,0,1,0,0,0,0,0,5,2,0,2,0,0,0,1,1
82,7916,6175,12,58,24,0,13,4531,6662,664,0,1161,1,18,6,134,50,3811,213,0,2198,3,155,252,8,21,0,4,183,1,65,50,258,53,8,142,3625,2845,35,12,459,11,13,44,1955,58,657,2282,21,14,22,487,99,1076,2025,1908,5071,246,1127,34,177,5,2,0,5,62,3,3,224,24,21,231,25,2545,33,0,282,49,37,803,26,442,133,367,318,1270,73,6,1656,0,9752,1119,198,806,14,21,148,18,0,2172,814,64,725,664,1849,252,639,504
1,4,6,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,4,0,0,4,0,0,2,0,0,0,1,0,1,0,0,0,2,2,2,3,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,6,2,0,0,0,0,0,0,0,2,1,0,0,0,3,0,2,0
1,323,333,21,5,9,0,4,180,308,25,0,89,0,1,0,3,6,253,51,0,134,0,5,5,0,7,0,0,12,0,7,9,17,6,1,11,207,207,0,7,12,1,7,0,131,9,110,78,1,0,0,36,12,68,96,104,222,13,36,3,4,6,1,62,0,0,1,2,39,3,7,27,0,162,1,0,18,3,2,44,1,28,9,12,44,45,6,0,74,0,338,70,9,52,0,3,17,0,0,376,37,2,41,57,88,21,53,33
0,18,13,0,0,1,0,1,7,10,0,0,0,0,0,0,1,0,7,2,0,2,0,6,0,0,0,0,0,3,0,1,0,5,1,0,1,8,6,0,0,2,0,1,0,5,0,0,2,0,1,3,1,2,2,3,2,14,1,4,0,0,0,0,3,0,1,0,0,1,0,1,7,0,2,2,0,6,1,1,1,0,15,1,3,0,2,1,0,2,0,20,0,0,1,0,1,1,0,0,9,7,0,0,1,10,3,0,0
0,20,10,0,0,6,0,66,4,4,0,0,0,0,1,0,0,1,16,0,0,6,0,4,0,0,63,0,1,6,0,2,1,7,1,0,1,6,7,0,64,1,0,67,0,7,0,0,4,0,1,0,0,0,0,14,3,11,1,2,0,0,25,0,3,0,2,0,0,0,0,6,6,0,2,2,0,2,0,0,1,0,8,8,6,0,1,0,0,7,0,26,4,1,0,0,1,1,0,0,10,5,0,1,0,13,13,2,1
0,813,856,1,8,3,0,2,609,667,32,0,156,0,5,0,10,11,438,40,0,263,0,22,27,0,1,0,0,20,0,8,9,45,8,0,23,354,405,11,3,16,5,3,0,354,8,133,198,0,5,2,68,12,249,205,178,479,19,98,2,63,2,0,224,0,39,1,0,0,2,1,42,2,209,2,0,58,3,0,81,16,67,36,26,118,114,1,0,157,0,860,122,23,129,2,1,34,1,0,1245,153,4,51,66,207,32,129,54
0,59,41,1,5,0,0,0,57,81,8,0,16,0,0,0,29,4,40,2,0,61,0,0,2,0,0,0,0,0,0,0,3,3,0,0,8,60,45,3,0,2,0,0,0,25,2,5,38,0,0,0,9,0,10,33,37,67,4,14,0,0,0,0,24,0,3,0,0,2,0,1,14,1,39,0,0,0,1,0,14,0,3,0,0,11,15,0,1,4,0,86,16,5,19,0,0,0,0,0,87,9,0,12,7,12,1,8,5
1,88,62,17,1,31,0,12,31,38,2,0,5,0,4,1,2,3,58,5,0,17,0,27,2,1,20,0,0,14,0,6,11,37,6,18,10,22,49,0,14,13,0,15,9,19,1,8,17,0,5,0,1,3,5,57,16,75,8,11,0,2,24,0,21,0,7,1,6,1,1,0,35,1,6,5,0,23,2,2,13,0,28,16,10,1,22,17,1,28,0,90,10,1,5,0,5,4,1,0,42,28,0,9,9,61,38,5,5
9,1474,1317,10,307,35,0,27,399,835,36,0,97,0,12,2,36,29,739,130,0,227,3,168,28,1,54,0,1,279,0,60,81,220,38,0,784,381,448,7,23,150,19,45,3,466,153,120,218,8,19,10,48,57,101,545,183,856,57,370,3,32,9,1,231,0,27,7,6,42,14,35,0,47,166,43,1,239,59,9,109,2,1038,174,201,107,346,8,3,214,0,1608,145,27,92,94,10,86,9,0,814,253,4,62,55,607,297,95,87
2,66,80,2,55,3,0,0,46,74,71,0,15,0,0,0,3,3,47,8,0,28,0,0,5,8,0,0,0,0,0,0,1,6,0,0,64,43,44,2,0,8,141,0,0,25,23,8,15,0,0,0,7,31,11,28,35,62,4,16,1,3,0,0,25,0,0,0,0,2,1,1,47,0,20,0,0,0,0,0,7,0,17,0,1,23,16,2,33,104,0,99,9,4,14,25,0,1,0,0,61,9,1,7,6,24,2,9,13
9,27367,19140,19,69,9,0,2,11928,20519,289,0,8451,0,9,0,224,92,23252,383,0,4721,3,36,625,1,9,0,2,40,11,151,137,111,16,1,113,34388,20961,318,9,92,62,8,2,5234,60,9161,7896,20,6,7,3966,212,4670,6314,9086,17829,681,1703,26,525,2,1,2545,1,162,2,2,209,39,6,166,20,0,4,0,101,277,8,1008,199,285,34,202,773,1675,12,2,1312,0,14803,3953,863,3046,23,29,206,6,0,12284,531,100,8280,6464,5204,126,2677,3272
0,225,126,0,0,3,0,1,46,110,0,0,2,0,0,0,4,2,116,19,0,18,1,50,5,0,6,0,1,62,0,10,6,30,5,0,12,25,26,0,3,23,0,4,0,96,2,7,22,0,2,3,1,5,2,59,11,110,4,24,0,3,1,0,33,0,1,2,2,2,0,5,43,0,4,0,1,65,8,2,8,0,120,47,75,1,51,2,0,42,0,363,5,0,5,0,3,8,2,0,144,78,0,3,9,201,109,8,7
0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
1,2411,1849,0,0,19,0,19,542,535,2,0,41,0,33,0,16,24,840,62,0,67,1,316,31,0,36,0,6,232,0,51,53,405,75,0,27,331,353,0,20,84,0,32,2,424,10,100,277,11,37,7,10,22,51,427,93,1015,32,284,2,21,7,1,282,0,18,6,2,58,0,23,239,0,101,65,1,0,28,11,81,0,440,192,240,6,485,10,1,169,0,1432,143,15,56,0,7,52,14,0,663,335,0,35,30,764,370,89,54
0,532,274,0,2,2,0,3,137,287,1,0,146,0,1,0,3,3,388,17,0,73,0,24,7,0,6,0,0,66,0,55,57,40,10,0,5,379,383,17,4,19,0,6,0,133,2,96,128,0,14,1,67,4,44,355,147,400,78,40,2,2,2,0,49,0,3,1,0,3,1,2,59,0,277,8,0,28,0,4,111,4,73,29,48,15,67,2,0,62,0,362,69,23,43,1,12,12,3,0,203,54,1,96,88,186,81,80,265
0,58,27,0,0,4,0,3,23,33,0,0,6,0,3,0,3,5,33,0,0,10,0,9,1,0,4,0,0,11,0,5,6,18,1,0,1,20,28,0,7,5,0,5,0,15,1,4,10,1,7,1,1,3,4,27,13,49,2,17,0,0,1,0,37,0,2,1,0,0,0,2,9,0,8,2,1,11,4,0,5,0,18,13,27,0,18,1,0,16,0,55,6,1,7,0,1,0,1,0,39,19,0,4,4,23,18,11,4
11,5465,4023,8,34,15,0,6,2927,3860,104,0,1655,0,6,1,80,32,3782,161,0,1061,3,39,144,0,10,0,0,49,2,105,79,76,15,1,68,6736,3842,77,7,89,17,5,3,1400,33,1103,1916,23,5,3,982,69,834,1676,1771,3574,264,503,6,147,4,2,803,0,44,1,1,81,14,13,109,7,1008,8,0,81,111,5,0,23,168,56,131,203,459,5,3,488,0,3420,1113,225,872,3,28,99,5,0,2742,277,19,1365,972,1140,108,875,803
0,346,609,0,0,0,0,0,317,261,9,2,77,0,0,0,1,6,251,8,0,85,0,0,12,0,0,0,0,0,0,4,4,5,0,0,3,160,162,11,0,0,0,0,0,90,1,119,69,1,0,0,33,5,97,48,98,158,4,34,1,43,0,0,26,0,1,0,0,16,0,0,2,0,199,0,0,0,4,0,23,0,6,0,3,27,29,0,0,25,0,213,44,7,49,1,0,10,0,0,259,8,5,51,59,31,0,30,16
13,2532,1962,3,80,37,0,19,795,2112,71,0,164,0,25,4,18,20,1495,628,0,315,4,361,62,18,40,0,4,572,0,93,129,406,78,1,275,728,773,9,20,266,17,26,13,1845,106,214,350,8,61,11,68,89,237,794,239,1492,70,326,1,55,13,1,442,2,28,15,8,67,3,28,1038,17,285,120,2,440,73,18,168,6,0,330,541,148,522,10,0,408,0,3353,233,32,162,12,14,145,10,0,1588,470,8,117,111,1343,530,200,106
0,1353,594,0,0,20,0,11,191,408,0,0,15,0,11,0,4,5,865,60,0,47,6,116,20,0,25,0,1,87,0,60,66,228,39,0,22,236,306,0,20,90,0,28,2,355,3,61,111,5,9,3,4,4,18,447,91,888,31,99,0,7,12,1,133,0,9,1,8,36,0,16,174,0,34,47,2,192,29,13,56,0,330,0,164,1,181,6,0,152,0,1204,55,9,18,0,11,53,5,0,555,227,0,23,24,771,474,65,43
0,1524,928,0,1,12,0,10,412,1030,12,0,114,0,13,0,9,12,830,80,0,216,2,161,25,0,29,0,1,395,0,48,36,213,61,0,24,414,425,4,12,116,6,20,2,669,15,124,223,5,36,7,59,25,101,422,194,960,42,202,2,19,7,1,367,0,12,3,6,26,0,10,201,1,202,75,2,240,48,27,131,3,541,164,0,24,301,3,0,243,0,1236,106,25,78,3,3,54,13,0,1083,467,2,66,72,606,371,92,56
1,2697,3303,8,60,3,0,0,1294,2833,35,0,357,0,0,0,25,16,1853,115,0,801,0,1,53,0,2,0,3,1,4,12,11,16,4,0,100,1278,1600,30,0,16,11,2,0,1182,47,723,720,0,1,1,213,89,771,533,421,1260,41,340,7,91,1,0,318,0,44,0,0,118,11,1,107,23,773,1,0,6,15,0,203,27,148,1,24,0,224,1,0,267,0,2342,539,66,459,41,1,84,0,0,2135,116,10,143,156,377,11,367,103
23,5337,1095,4,27,22,0,9,4765,4084,91,1,644,0,29,2,85,35,2702,173,0,1030,3,185,379,0,22,0,10,264,1,59,39,291,102,1,119,2211,1825,18,17,418,20,18,3,1751,59,560,1307,15,28,8,357,111,1049,1270,1118,3352,135,1008,8,159,8,2,1270,0,45,2,1,114,15,22,346,16,1675,51,0,485,67,18,459,29,522,181,301,224,0,7,1,512,1,4610,550,144,495,15,11,212,4,0,2987,566,66,491,450,1297,372,363,301
14,208,24,3,1,7,0,0,80,77,20,0,16,0,0,1,1,2,114,0,0,16,0,9,7,1,1,0,0,12,0,1,5,18,2,6,7,48,62,0,0,80,0,0,43,31,1,2,33,0,2,1,2,4,52,59,39,129,16,1,0,7,6,0,73,0,6,1,0,1,0,17,8,2,12,2,0,10,2,1,5,0,10,6,3,1,7,0,0,43,0,145,9,1,5,0,18,3,0,0,73,14,1,3,13,86,12,22,13
0,10,12,0,4,0,0,0,6,6,19,0,2,0,0,0,0,0,3,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,2,2,0,2,0,0,0,1,6,2,5,2,6,1,2,0,1,0,0,6,0,0,0,0,0,1,1,3,33,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,22,0,6,1,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,2
30,4288,3668,13,28,50,0,42,1967,3510,336,1,843,0,11,3,37,20,2263,202,0,1533,4,123,90,11,37,0,6,204,1,35,50,224,36,8,105,1968,2004,24,15,228,265,43,49,1506,37,611,937,9,7,3,287,88,778,1210,1083,2664,194,470,14,124,13,0,1656,4,74,2,7,157,4,28,214,104,1312,42,0,169,62,16,488,25,408,152,243,267,512,43,22,0,0,5661,559,104,478,13,26,109,7,0,5195,678,27,351,455,1316,271,466,384
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,38985,35990,55,202,115,0,56,16465,49386,1288,4,7152,3,66,6,352,160,23357,1314,0,13407,12,859,925,14,123,0,11,1668,6,366,343,1255,222,21,529,19807,20189,212,72,1209,261,93,103,24729,200,6995,8480,37,55,27,2775,473,6545,8879,9530,23571,972,4197,85,863,26,9,9752,6,338,20,26,860,86,90,1608,99,14803,363,2,1432,362,55,3420,213,3353,1204,1236,2342,4610,145,6,5661,1,0,4588,876,3765,61,61,777,40,0,41882,3761,145,3867,4261,10636,2389,3599,2291
14,6777,6855,4,41,8,0,5,3624,5566,113,0,1428,0,15,3,109,42,4792,236,0,1562,1,50,162,2,14,0,3,64,3,108,64,108,35,1,57,4898,4352,58,10,109,14,14,4,1825,36,2048,2096,19,10,5,824,77,1763,1616,1601,3719,163,651,14,219,2,3,1119,2,70,0,4,122,16,10,145,9,3953,5,0,143,69,6,1113,44,233,55,106,539,550,9,1,559,0,4588,0,899,831,18,41,147,5,0,3890,324,27,869,947,1169,138,876,552
3,983,871,3,4,1,0,0,638,1007,23,0,311,0,0,1,22,18,836,37,0,338,0,5,27,0,2,0,0,9,2,10,14,8,4,1,23,865,648,22,0,25,3,1,1,305,7,261,387,4,1,0,164,19,195,367,360,778,47,119,3,15,1,0,198,0,9,0,1,23,5,1,27,4,863,0,0,15,23,1,225,7,32,9,25,66,144,1,0,104,0,876,899,0,1379,5,6,25,0,0,790,61,12,249,214,211,12,146,210
11,5029,4959,5,23,4,0,2,3075,4246,101,0,1246,0,8,0,116,30,3480,151,0,1362,0,37,166,3,2,0,4,36,3,67,40,55,8,2,49,3584,3160,72,3,61,9,3,3,1351,24,1379,1597,9,1,1,779,66,1344,1249,1321,2861,128,557,8,167,1,1,806,0,52,1,0,129,19,5,92,14,3046,5,0,56,43,7,872,49,162,18,78,459,495,5,0,478,0,3765,831,1379,0,16,20,106,3,0,3474,246,23,636,729,866,73,698,486
1,54,101,3,71,2,0,0,31,80,4,0,15,0,1,1,2,3,36,18,0,30,0,0,0,0,0,0,0,0,1,0,3,2,0,0,116,30,32,1,0,2,6,0,0,9,28,18,22,0,0,0,7,16,13,18,22,33,6,21,2,4,0,0,14,0,0,0,0,2,0,0,94,25,23,0,0,0,1,0,3,1,12,0,3,41,15,0,0,13,0,61,18,5,16,0,0,2,0,0,42,2,1,10,10,9,2,7,10
0,108,51,1,2,11,0,6,26,39,0,0,27,0,1,0,1,2,54,7,0,11,0,4,2,0,5,0,0,8,0,9,18,6,1,3,5,69,109,0,2,16,0,8,9,17,4,15,35,1,3,0,5,0,10,78,18,62,24,8,0,2,3,0,21,0,3,1,1,1,0,5,10,0,29,3,0,7,12,1,28,0,14,11,3,1,11,18,0,26,0,61,41,6,20,0,0,6,0,0,32,13,0,7,7,42,12,26,16
3,1513,1816,1,2,1,0,1,399,511,12,0,77,0,11,2,8,6,628,55,0,130,2,78,30,0,5,0,4,51,0,22,19,144,27,0,15,360,424,2,5,16,0,9,3,296,11,243,345,10,19,1,50,9,117,228,132,623,14,181,2,56,1,0,148,0,17,1,1,34,0,4,86,1,206,8,0,52,12,0,99,10,145,53,54,84,212,3,0,109,0,777,147,25,106,2,6,0,7,0,538,122,3,46,50,337,112,106,32
0,72,9,0,0,2,0,0,25,23,0,0,5,0,2,0,11,0,22,1,0,3,0,7,4,0,1,0,1,4,0,3,1,7,4,0,6,12,15,0,1,16,0,1,0,16,0,1,12,1,3,1,0,4,1,12,3,40,0,8,1,0,0,0,18,0,0,0,0,1,0,1,9,0,6,2,0,14,3,1,5,0,10,5,13,0,4,0,0,7,0,40,5,0,3,0,0,7,0,0,15,10,0,4,0,13,11,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,28812,28616,45,147,62,0,25,14496,28723,1092,2,6065,1,33,3,290,157,17353,723,0,12213,4,366,766,7,61,0,3,813,8,232,235,708,80,14,309,14969,13743,187,28,680,101,43,71,10099,141,5939,6443,29,22,9,2786,379,6088,6268,7759,16678,688,3073,55,859,16,5,2172,2,376,9,10,1245,87,42,814,61,12284,144,0,663,203,39,2742,259,1588,555,1083,2135,2987,73,7,5195,0,41882,3890,790,3474,42,32,538,15,0,0,1545,141,2808,3281,6322,936,2620,1824
14,2952,2358,5,9,21,0,20,1223,2117,79,0,307,0,15,2,31,14,1431,120,0,547,2,213,86,1,31,0,7,395,0,65,60,253,53,4,73,1019,983,13,20,207,3,32,10,974,30,305,546,15,16,4,115,40,357,847,538,1753,131,382,5,60,2,2,814,1,37,7,5,153,9,28,253,9,531,78,2,335,54,19,277,8,470,227,467,116,566,14,1,678,0,3761,324,61,246,2,13,122,10,0,1545,0,6,158,153,1061,351,279,160
7,234,198,1,1,0,0,0,175,171,2,0,39,0,0,0,14,7,105,8,0,56,0,0,111,0,0,0,0,0,0,1,1,4,0,0,2,98,77,3,0,8,0,0,0,57,2,30,62,1,0,0,34,3,55,45,85,140,10,45,0,13,0,0,64,0,2,0,0,4,0,0,4,1,100,0,0,0,1,0,19,5,8,0,2,10,66,1,0,27,0,145,27,12,23,1,0,3,0,0,141,6,0,36,27,44,2,18,10
