Almonds,Amaranthus Leaves,Amla,Apple,Apple Ber,Apricot,Arugula,Ash Gourd,Asparagus,Avocado,Baby Corn,Banana,Banana Leaf,Banana Stem,Basil Leaves,Beans,Beetroot,Bell Pepper,Bitter Gourd,Blueberry,Bok Choy,Bottle Gourd,Brinjal,Brinjal (Bharta),Broad Beans,Broccoli,Cabbage,Capsicum,Carrot,Cauliflower,Celery,Cherry,Chilli,Chow Chow,Cluster Beans,Coccinea,Coconut,Colocasia,Combo,Coriander,Corn,Cowpea Beans,Cucumber,Curry Leaves,Custard Apple,Dates,Dill Leaves,Dragon Fruit,Dried Apricots,Drumstick,Fenugreek,Fig,Flower,Flower String,Flowers,Flowers & Greens,French Beans,Fruit,Gaath Gobhi,Garlic,Ginger,Gongura,Grapefruit,Grapes,Green Chana,Groundnut,Guava,Haricot Beans,Indian Pear,Ivy Gourd,Jackfruit,Java Plum,Kachalu,Kale Leaves,Karonda,Kiwi,Lady Finger,Leaf,Leafy Mix,Leaves,Leek,Lemon,Lemongrass,Lettuce,Litchi,Longan,Lotus Stem,Mango,Mint Leaves,Mix,Mushroom,Muskmelon,Neem Leaves,Neem Sticks,Nimbu Mirchi,Onion,Orange,Pak Choi,Papaya,Parsley,Peach,Pear,Peas,Pineapple,Plum,Pointed Gourd,Pomegranate,Potato,Pumpkin,Radish,Raw Banana,Raw Papaya,Ridge Gourd,Rosemary,Round Gourd,Salad,Sambhar Mix,Sapota,Snake Gourd,Spinach,Sponge Gourd,Spring Onion,Sprouts,Star Fruit,Stir Fry Mix,Strawberry,Sugarcane,Summer Squash,Sun Melon,Sweet Corn,Sweet Lime,Sweet Potato,Sweet Tamarind,Tapioca,Thyme,Tindli,Tomato,Turmeric,Watermelon,Wood Apple,Yam,Zucchini
44,98,530,1523,0,24,61,183,36,108,0,2383,12,16,876,3896,2394,8,1394,99,142,2811,2415,22,351,4371,2958,9532,6260,2382,178,149,3835,44,735,504,1723,1039,425,4072,302,152,6144,1770,1,86,2,229,39,1125,656,60,1,25,95,45,236,28,207,2748,3174,35,34,904,75,45,280,826,1,478,150,24,36,59,34,633,3939,22,0,24,34,3198,606,2238,81,38,160,1825,1898,2,7052,1439,4,5,167,7274,382,36,821,316,191,272,667,293,122,771,474,5489,870,452,382,260,1019,107,423,144,20,444,219,2248,408,935,1544,1,4,1,20,57,175,3517,483,509,56,42,57,14,9187,239,2473,144,260,2814
420,600,2886,42810,0,374,134,993,49,493,2383,0,369,112,947,16989,11441,5,10744,1386,113,23928,17660,84,1827,3879,11498,26712,27715,14575,436,1056,32567,148,4355,2427,35684,7041,2307,35592,1348,601,53245,11701,9,1973,7,1950,473,6090,3459,485,110,543,1649,1082,863,755,703,15678,25234,133,403,27024,143,420,4209,3300,40,3572,974,480,125,162,127,10531,33633,195,6,745,41,27619,761,3987,2116,517,455,34853,11297,198,11351,30093,75,83,1580,54835,8824,26,17486,531,3920,3912,6121,2403,2509,7334,8166,46566,6182,2523,1905,1162,6819,72,3748,544,95,11089,1183,14313,4635,2368,8432,1,17,24,185,609,2323,6803,7585,2033,542,201,33,37,71737,966,50512,2110,1222,1864
0,6,15,86,0,0,0,29,0,1,12,369,0,10,11,65,54,0,39,1,0,39,91,0,29,22,49,54,126,55,1,0,166,2,29,41,295,20,15,252,0,0,156,140,0,4,0,2,1,110,22,7,18,102,156,128,6,11,14,100,137,3,2,41,0,4,19,49,0,0,2,1,0,0,0,16,119,60,0,89,0,140,17,10,0,3,0,146,131,0,54,39,11,9,0,264,3,0,36,0,0,4,0,5,0,22,35,175,56,32,32,10,35,0,0,0,0,27,18,68,0,0,29,0,0,0,7,0,0,29,14,29,2,9,0,0,262,7,76,5,34,5
0,0,13,27,0,0,0,22,0,1,16,112,10,0,5,32,43,0,35,1,0,44,49,0,32,15,43,51,86,49,5,0,82,1,24,24,75,21,1,104,0,0,84,48,0,2,0,6,2,57,25,2,0,8,22,19,2,6,13,36,51,1,1,24,0,0,15,33,0,0,3,0,0,0,0,3,69,2,0,3,0,44,8,7,0,1,0,45,50,0,24,28,0,0,0,114,2,0,14,0,0,5,0,7,0,5,10,81,30,27,12,17,29,0,0,0,2,11,17,30,0,0,21,0,0,0,0,0,0,26,13,21,0,2,0,0,114,3,44,2,21,5
31,101,269,536,0,13,209,40,20,119,876,947,11,5,0,988,768,1,517,113,161,954,832,2,64,1026,826,3097,1584,589,366,118,1422,7,203,72,741,278,148,1734,152,48,2529,966,0,34,2,84,30,250,159,29,4,9,35,18,71,14,18,1310,1317,8,44,356,0,10,57,101,0,187,33,11,20,155,21,243,1151,10,5,12,49,1584,683,1515,71,26,83,978,1161,2,1887,608,2,1,45,2633,278,19,217,847,137,119,264,95,87,291,127,1811,332,86,96,75,266,69,196,222,6,151,52,889,220,368,513,0,0,1,0,35,64,699,149,84,26,11,37,0,4515,191,1007,108,69,1265
167,687,2913,9110,0,110,141,828,65,181,3896,16989,65,32,988,0,13726,7,18468,291,171,37743,30340,119,2712,4794,21674,51459,54638,24302,448,421,41713,231,7713,2630,10632,12259,2635,38802,1432,1141,53753,13580,1,422,8,545,97,8035,3294,82,16,78,311,150,396,81,1270,20564,30833,111,100,5689,155,101,809,1354,8,8432,621,150,355,121,174,2833,51024,50,5,66,57,23756,817,4225,649,106,888,12029,12964,14,16053,9343,17,17,1691,63927,2310,31,4844,707,1194,1118,14233,825,617,12448,2223,57532,9967,2842,2345,1420,9315,68,6584,407,67,2509,1729,17382,7924,5538,4837,0,7,3,31,1354,882,7832,2137,1607,216,139,30,72,81530,1201,16020,1027,1786,3212
119,544,4564,7950,0,74,157,1000,59,205,2394,11441,54,43,768,13726,0,10,9299,286,118,17437,13637,83,1740,3311,11573,20578,31337,9410,525,348,21614,213,4326,2517,8763,5785,1516,20976,837,581,40924,9417,1,570,11,647,136,6036,2704,129,12,55,276,124,766,119,1008,11839,17731,139,155,3894,115,152,911,3074,10,3482,517,91,234,220,132,3291,23471,47,9,69,37,15933,700,4167,445,92,487,7817,9518,28,8391,7003,8,8,903,35911,2147,24,4034,509,808,833,3869,935,564,4450,2535,28822,5558,3087,1420,994,5698,83,2399,354,62,2187,1282,11325,3056,2100,4939,0,6,1,40,488,649,5970,2382,2271,183,207,36,43,44046,1525,12460,801,1421,1804
0,3,0,10,0,0,0,0,0,0,8,5,0,0,1,7,10,0,2,0,0,8,6,2,3,16,9,40,10,9,2,3,16,0,5,0,10,2,0,13,0,3,23,9,0,1,0,1,0,1,5,2,0,0,0,0,1,0,0,16,13,0,0,4,4,0,4,0,0,3,3,0,0,3,0,1,12,0,0,1,0,15,1,14,0,0,1,9,6,0,19,5,0,0,0,31,5,1,6,4,0,2,0,1,0,4,0,21,2,6,1,2,5,4,5,0,0,3,0,15,1,9,5,0,0,0,0,0,0,7,3,4,0,0,1,1,31,2,10,0,0,21
141,782,2963,5912,0,96,63,506,41,111,1394,10744,39,35,517,18468,9299,2,0,171,76,33011,29861,75,1981,1481,12344,28803,17835,12184,242,300,32659,119,7908,2216,6464,12918,2130,24493,1077,1131,42599,7903,1,358,1,407,72,5125,1858,55,5,38,145,96,734,49,477,16021,23701,119,109,3714,87,101,627,1774,4,9802,498,141,348,61,199,2286,47960,15,2,32,36,17780,460,2027,507,112,726,11265,7762,13,8624,8080,16,9,877,48910,1631,18,3194,409,1128,747,6890,633,617,15027,1391,43748,8882,1868,2198,1447,8603,28,6942,262,46,1876,1783,11618,9665,3024,3169,0,1,1,30,1007,670,3913,1768,915,191,100,17,49,57522,1226,13897,1093,1754,1298
42,12,102,1080,0,34,30,6,2,424,99,1386,1,1,113,291,286,0,171,0,16,345,243,0,18,315,255,697,476,273,58,251,366,0,71,17,762,97,38,420,48,4,914,149,0,133,0,406,127,84,38,31,2,3,16,4,31,23,4,272,361,1,82,966,0,12,123,19,0,68,9,27,6,53,5,878,423,0,0,6,10,500,41,391,97,56,19,922,213,8,339,557,1,0,54,773,550,1,303,55,204,280,148,176,216,90,366,543,113,18,32,11,71,4,69,79,4,228,14,252,83,73,285,0,0,1,4,14,99,115,191,31,69,1,0,0,1067,48,841,97,28,183
