Almonds,Amaranthus Leaves,Amla,Apple,Apple Ber,Apricot,Arugula,Ash Gourd,Asparagus,Avocado,Baby Corn,Banana,Banana Leaf,Banana Stem,Basil Leaves,Beans,Beetroot,Bell Pepper,Bitter Gourd,Blueberry,Bok Choy,Bottle Gourd,Brinjal,Brinjal (Bharta),Broad Beans,Broccoli,Cabbage,Capsicum,Carrot,Cauliflower,Celery,Cherry,Chilli,Chow Chow,Cluster Beans,Coccinea,Coconut,Colocasia,Combo,Coriander,Corn,Cowpea Beans,Cucumber,Curry Leaves,Custard Apple,Dates,Dill Leaves,Dragon Fruit,Dried Apricots,Drumstick,Fenugreek,Fig,Flower,Flower String,Flowers,Flowers & Greens,French Beans,Fruit,Gaath Gobhi,Garlic,Ginger,Gongura,Grapefruit,Grapes,Green Chana,Groundnut,Guava,Haricot Beans,Indian Pear,Ivy Gourd,Jackfruit,Java Plum,Kachalu,Kale Leaves,Karonda,Kiwi,Lady Finger,Leaf,Leafy Mix,Leaves,Leek,Lemon,Lemongrass,Lettuce,Litchi,Longan,Lotus Stem,Mango,Mint Leaves,Mix,Mushroom,Muskmelon,Neem Leaves,Neem Sticks,Nimbu Mirchi,Onion,Orange,Pak Choi,Papaya,Parsley,Peach,Pear,Peas,Pineapple,Plum,Pointed Gourd,Pomegranate,Potato,Pumpkin,Radish,Raw Banana,Raw Papaya,Ridge Gourd,Rosemary,Round Gourd,Salad,Sambhar Mix,Sapota,Snake Gourd,Spinach,Sponge Gourd,Spring Onion,Sprouts,Star Fruit,Stir Fry Mix,Strawberry,Sugarcane,Summer Squash,Sun Melon,Sweet Corn,Sweet Lime,Sweet Potato,Sweet Tamarind,Tapioca,Thyme,Tindli,Tomato,Turmeric,Watermelon,Wood Apple,Yam,Zucchini
8,32,189,369,0,4,52,32,13,46,178,436,1,5,366,448,525,2,242,58,77,451,332,3,30,363,552,966,938,319,0,19,608,2,105,32,285,121,29,746,69,6,1333,292,0,14,0,70,7,149,57,16,1,2,9,3,40,8,16,384,549,4,16,180,0,6,32,61,0,86,14,0,19,134,1,127,481,3,2,3,43,566,208,950,18,8,36,311,492,0,437,219,0,0,13,1048,159,5,109,420,31,34,157,99,22,132,97,710,170,47,28,25,105,18,51,77,2,76,20,549,96,260,264,0,1,0,1,37,37,246,84,55,7,2,10,1,1434,77,417,61,46,359
109,59,116,966,0,77,10,0,0,78,149,1056,0,0,118,421,348,3,300,251,17,508,415,3,15,186,259,809,527,202,19,0,576,0,113,0,738,204,122,500,97,30,1271,193,0,57,0,169,41,68,15,0,0,0,1,3,3,0,0,333,550,0,95,673,14,11,102,1,5,127,46,150,7,14,14,623,729,0,1,2,6,785,42,390,385,73,25,1278,218,13,421,708,0,0,1,1137,380,0,263,57,700,392,191,130,643,158,129,881,99,1,28,23,103,9,208,75,2,146,27,210,170,72,346,0,0,0,2,1,127,212,253,19,66,0,3,3,1562,52,1103,107,18,167
231,1345,5141,15043,1,144,159,1280,104,208,3835,32567,166,82,1422,41713,21614,16,32659,366,169,58883,55361,218,4099,4398,30921,70735,53199,32855,608,576,0,313,14217,5242,23169,20206,4928,124080,2047,1941,112334,39681,4,986,9,948,181,14115,6655,188,36,202,887,530,1793,240,1383,62597,93404,477,210,10702,251,302,1725,6969,11,14028,1232,234,615,130,658,4886,94556,126,3,219,63,62507,1504,5551,988,254,1015,26559,32620,65,21927,18263,60,39,3791,178390,3616,47,7735,1702,1828,1446,19421,1401,1071,21989,3616,145505,15462,5181,3339,1961,15737,123,8803,453,160,4426,2830,29163,13502,7185,9094,1,6,7,104,1693,1210,12553,3770,2556,466,329,53,93,213323,2275,34464,1814,2912,2559
0,36,20,109,0,0,0,105,4,1,44,148,2,1,7,231,213,0,119,0,1,202,237,0,125,38,231,255,425,116,2,0,313,0,92,129,149,65,20,333,0,0,338,179,0,1,0,3,2,200,81,6,0,4,18,10,12,3,116,124,173,14,3,17,0,5,25,172,0,0,3,0,0,0,0,15,367,1,0,2,0,177,5,23,0,10,0,88,146,0,99,55,0,0,0,431,9,0,52,1,2,14,0,5,0,63,22,387,134,174,37,39,210,0,0,0,0,18,63,169,0,0,48,0,1,0,0,0,0,78,20,54,2,16,0,0,556,6,67,1,44,15
66,370,933,2301,0,35,31,386,18,40,735,4355,29,24,203,7713,4326,5,7908,71,25,11406,11642,58,1593,670,6759,11207,9043,4971,105,113,14217,92,0,1528,3041,5888,956,11215,439,749,15922,4596,0,133,5,186,32,3575,1558,39,3,22,101,48,426,30,419,6088,9652,117,42,1462,89,64,314,1260,4,4205,325,33,173,22,112,815,18874,16,1,21,13,6746,277,850,185,27,351,4242,3778,6,3423,3338,1,6,327,19447,594,6,1177,193,372,337,2882,211,218,3662,546,17722,3480,1142,721,306,4147,16,3235,77,28,880,877,5455,3479,1543,1803,0,3,1,18,487,227,2229,658,593,90,59,11,62,24025,441,5246,358,792,573
0,160,372,1212,0,0,0,637,24,7,504,2427,41,24,72,2630,2517,0,2216,17,5,3545,3833,0,1499,475,2979,2914,4877,2739,32,0,5242,129,1528,0,1730,1385,317,5449,0,0,5159,2800,2,42,0,44,19,3378,1213,47,4,33,167,68,142,45,517,2327,3096,169,11,647,0,46,273,1988,0,0,26,2,0,0,0,177,7186,17,0,27,1,2549,120,198,0,29,0,1424,2274,6,1804,862,8,12,0,7327,79,4,708,4,2,60,0,55,0,772,295,6254,1309,1488,373,400,3019,0,0,0,13,318,880,3081,0,0,544,0,2,0,13,0,0,1169,304,569,28,136,2,0,8682,70,1498,26,664,124
439,518,2329,16170,0,222,83,915,41,346,1723,35684,295,75,741,10632,8763,10,6464,762,77,14397,10721,62,1299,2444,7395,15363,17926,7958,285,738,23169,149,3041,1730,0,4263,1398,25842,1007,518,30942,12121,9,1113,2,1410,269,6421,2452,249,78,430,1223,809,638,324,545,11419,16971,112,300,9952,115,307,1993,2371,20,2776,659,294,146,90,115,8060,19158,183,4,557,19,18628,635,2608,1290,327,370,16732,9373,126,7073,14493,48,60,1205,38547,5027,14,8130,399,2016,1902,3542,1726,1378,3961,4480,30202,4517,1677,1382,742,4489,65,2031,370,144,4667,939,8533,2730,1565,5688,0,6,9,175,414,1295,5002,5601,1345,530,203,33,43,45568,919,28697,2170,1151,1188
120,392,1576,3538,0,79,53,322,19,64,1039,7041,20,21,278,12259,5785,2,12918,97,36,20736,20348,63,1174,951,7988,19767,12049,9354,121,204,20206,65,5888,1385,4263,0,1532,16574,817,640,27389,4907,1,192,0,226,67,2698,1224,30,6,31,95,54,400,29,204,10061,17464,69,59,2430,63,60,347,932,5,5620,393,78,345,36,208,1493,30164,16,1,28,18,11987,316,1318,372,50,804,6993,5163,8,6753,5558,5,5,752,34261,1015,10,1917,282,772,516,5071,361,420,6625,806,33085,5975,1020,1365,672,4258,26,5459,140,18,1363,1001,7541,6055,2190,2072,0,3,0,22,873,477,2962,1056,884,131,76,8,21,40562,801,8730,547,1601,958
38,88,406,1319,0,38,17,78,15,33,425,2307,15,1,148,2635,1516,0,2130,38,20,2931,3582,0,212,478,1294,4355,3954,1773,29,122,4928,20,956,317,1398,1532,0,2931,239,250,6283,2075,2,95,1,36,23,705,301,5,0,7,36,13,64,15,95,2548,3910,25,32,260,10,25,98,384,8,828,98,104,0,7,107,441,6394,5,3,4,3,4461,106,510,170,11,31,2269,1862,22,2295,960,0,0,0,8204,263,2,798,68,366,290,843,118,262,1511,176,6535,876,249,162,241,909,10,1060,65,1,208,280,1821,1196,35,828,0,5,0,10,1,89,1168,410,154,40,57,1,0,10264,215,1400,102,70,272
222,1394,5428,15016,0,140,162,1591,137,242,4072,35592,252,104,1734,38802,20976,13,24493,420,158,49522,43298,195,4381,5087,27853,64172,59981,35263,746,500,124080,333,11215,5449,25842,16574,2931,0,1715,1239,101564,44944,5,776,17,980,179,14550,10357,225,40,272,1180,645,1594,284,1616,44809,69697,481,149,9852,236,287,1933,8058,14,9149,1012,142,498,140,207,4283,75164,179,4,270,53,56062,1686,6551,857,213,993,26026,61160,47,21291,16518,64,41,3482,136232,3395,47,8292,645,1463,1270,15912,1254,715,17743,3791,114575,14184,6212,2532,1725,14811,131,8069,486,178,4715,2402,44199,11106,8055,8893,1,5,11,90,1821,994,12219,3697,2872,385,329,64,89,178767,1972,31002,1880,2604,2817
69,58,327,726,0,35,31,0,0,47,302,1348,0,0,152,1432,837,0,1077,48,35,1690,1513,0,17,245,834,2448,1904,843,69,97,2047,0,439,0,1007,817,239,1715,0,88,3682,691,0,58,0,99,26,229,0,0,0,0,0,0,64,0,0,1220,1756,0,33,545,0,9,28,0,0,553,50,43,58,30,42,363,2279,0,1,0,7,2010,63,542,207,21,130,1580,679,5,1040,986,0,0,146,3580,302,0,319,105,251,159,882,117,176,651,182,3155,537,0,150,79,338,7,519,88,0,212,80,735,618,312,544,0,0,0,0,72,135,562,250,43,58,0,0,0,4495,186,1756,203,79,276
13,127,132,307,0,14,6,0,0,6,152,601,0,0,48,1141,581,3,1131,4,4,1618,1617,19,144,103,1034,1365,1477,627,6,30,1941,0,749,0,518,640,250,1239,88,0,1967,650,0,21,0,35,3,400,169,2,0,0,2,6,16,0,0,911,1407,0,8,149,44,8,63,0,1,1096,105,23,0,4,37,98,2753,0,1,3,0,1044,63,135,60,7,17,725,381,2,619,420,0,0,0,2756,89,1,141,46,79,64,291,27,75,1307,47,2786,349,54,267,218,639,11,560,14,11,92,248,650,759,157,210,0,0,0,9,0,33,356,101,82,10,0,8,15,3361,80,762,42,37,78
547,1519,8466,28796,1,353,450,1902,150,537,6144,53245,156,84,2529,53753,40924,23,42599,914,346,84446,63399,189,4056,8666,38584,100972,88055,39548,1333,1271,112334,338,15922,5159,30942,27389,6283,101564,3682,1967,0,29027,2,1515,11,1878,369,13259,6725,291,36,265,895,497,2333,387,1756,52702,83122,257,457,19417,349,341,2949,7105,24,16191,1374,422,878,415,429,10073,115915,126,18,234,133,80173,1945,18084,1973,376,1801,38253,34103,97,29775,35772,42,39,5149,183905,7644,76,14863,2113,4046,3133,23551,2762,2149,25810,6515,148068,20698,6557,3943,2571,18092,176,14037,1401,160,7791,3181,35712,19696,9501,18651,0,13,11,109,2954,2925,20241,7028,3821,673,280,65,89,241607,3473,64582,3401,3478,6007
97,618,2486,5343,0,55,75,985,54,97,1770,11701,140,48,966,13580,9417,9,7903,149,58,15172,15703,110,2064,1767,10295,19163,21760,8868,292,193,39681,179,4596,2800,12121,4907,2075,44944,691,650,29027,0,2,355,7,430,84,9604,4216,119,20,167,642,312,583,129,891,16959,23606,303,103,3259,162,132,858,3785,6,3453,597,55,126,52,97,1672,24655,94,4,178,24,19989,923,2195,348,118,276,9006,16951,22,7576,5787,41,25,92,45257,1108,17,2581,574,535,518,3765,535,339,4944,1390,34433,4659,2902,1506,787,6496,83,1904,199,134,1633,1304,11434,2563,1878,3914,1,7,3,57,273,364,5626,1367,1353,205,244,33,65,53696,1124,10251,667,1388,980
0,1,1,5,0,0,0,0,0,0,1,9,0,0,0,1,1,0,1,0,0,1,2,0,0,1,0,3,2,3,0,0,4,0,0,2,9,1,2,5,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,5,0,0,0,0,6,0,0,0,2,0,2,2,0,3,2,0,0,0,6,1,0,7,0,0,0,0,1,0,2,2,4,0,1,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,5,0,1,0
38,25,171,1506,0,22,2,21,4,45,86,1973,4,2,34,422,570,1,358,133,8,621,487,2,47,137,324,697,747,342,14,57,986,1,133,42,1113,192,95,776,58,21,1515,355,0,0,0,127,199,169,69,36,1,9,17,15,29,30,15,531,789,3,32,945,7,43,168,58,5,160,54,38,7,10,4,659,842,3,0,3,1,698,37,197,106,29,26,1108,313,15,377,998,3,1,96,1698,408,3,608,21,203,215,237,157,196,228,432,1276,165,50,60,36,175,3,85,18,1,480,32,369,142,98,453,0,1,0,12,25,138,344,303,93,106,12,1,2,1848,83,1679,122,36,86
0,1,1,5,0,0,0,1,0,0,2,7,0,0,2,8,11,0,1,0,0,2,8,0,1,6,5,9,13,2,0,0,9,0,5,0,2,0,1,17,0,0,11,7,0,0,0,0,0,6,13,0,0,0,0,0,1,0,1,8,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,1,0,0,1,4,2,2,0,0,0,5,5,0,6,4,0,0,0,19,0,1,6,0,0,1,0,0,0,0,2,11,3,2,0,1,3,0,0,0,0,0,2,10,0,0,6,0,0,0,0,0,0,2,1,1,1,0,1,0,21,0,2,0,0,2
49,25,169,1693,0,35,23,23,0,170,229,1950,2,6,84,545,647,1,407,406,21,733,589,6,54,382,513,1075,880,470,70,169,948,3,186,44,1410,226,36,980,99,35,1878,430,0,127,0,0,97,242,86,79,1,5,24,7,46,50,16,587,798,6,103,1383,22,29,385,61,2,179,108,16,22,31,3,1967,905,1,2,7,9,820,88,510,105,92,49,1311,429,4,591,1699,1,2,84,1755,749,4,760,84,318,436,252,286,239,263,620,1339,247,51,86,38,204,21,106,63,11,668,37,481,149,214,506,1,1,0,18,55,423,391,400,137,99,6,10,6,2247,80,2555,226,64,235
10,9,41,446,0,8,5,10,1,35,39,473,1,2,30,97,136,0,72,127,6,141,107,0,14,81,90,210,194,83,7,41,181,2,32,19,269,67,23,179,26,3,369,84,0,199,0,97,0,51,31,24,1,1,8,3,15,17,5,128,169,2,15,343,0,13,72,23,0,23,3,9,3,12,5,256,210,3,0,3,2,185,13,93,15,22,15,275,78,2,132,253,1,0,17,354,176,1,130,15,68,99,43,45,64,44,157,277,53,16,14,8,52,0,22,14,0,91,10,89,18,23,131,0,1,0,2,7,40,85,99,18,43,4,0,0,425,18,331,40,14,39
19,393,1101,2870,0,12,21,1157,55,60,1125,6090,110,57,250,8035,6036,1,5125,84,28,9668,11030,68,2504,1135,7041,7652,13374,6211,149,68,14115,200,3575,3378,6421,2698,705,14550,229,400,13259,9604,1,169,6,242,51,0,2686,110,10,75,373,201,469,112,1037,7020,8644,265,31,1780,98,138,626,3604,4,1778,426,13,89,19,27,663,15685,55,0,95,21,6808,447,906,91,80,201,4409,6227,9,4295,2529,18,22,186,20260,575,15,1594,178,124,251,1057,249,100,3114,849,16256,4097,3243,1436,867,5963,40,539,83,137,990,1300,6792,785,894,1894,0,2,5,54,151,132,3118,778,1247,110,225,23,33,23789,420,4548,280,1620,545
4,237,515,1846,0,1,0,367,22,14,656,3459,22,25,159,3294,2704,5,1858,38,12,3981,4001,66,1039,809,3579,4390,6144,3802,57,15,6655,81,1558,1213,2452,1224,301,10357,0,169,6725,4216,2,69,13,86,31,2686,0,57,8,58,254,116,195,76,398,3136,4299,141,9,1025,88,62,495,1795,1,311,218,1,0,4,0,364,6971,76,0,61,9,4219,226,458,4,18,10,1877,4071,4,2347,1460,11,8,0,9006,241,4,1045,50,31,153,98,141,25,948,569,7533,1148,1619,359,299,2726,27,222,0,42,472,387,7606,154,358,1107,0,3,3,13,0,30,1653,424,655,29,43,18,31,11377,105,2278,31,307,222
0,10,44,306,0,0,0,23,1,14,60,485,7,2,29,82,129,2,55,31,0,105,102,0,37,97,97,169,231,88,16,0,188,6,39,47,249,30,5,225,0,2,291,119,0,36,0,79,24,110,57,0,5,8,19,13,18,27,28,97,114,7,17,312,0,13,121,50,0,3,29,1,0,1,0,137,164,2,0,3,1,165,22,64,0,23,4,214,101,1,113,306,0,0,0,304,66,1,198,11,0,62,6,29,0,23,128,191,51,52,13,8,88,7,4,0,4,169,13,117,2,8,95,0,0,2,9,0,26,101,108,49,12,3,2,1,374,9,378,8,15,39
0,1,4,26,0,0,0,2,0,0,1,110,18,0,4,16,12,0,5,2,0,7,11,0,5,2,11,15,26,10,1,0,36,0,3,4,78,6,0,40,0,0,36,20,0,1,0,1,1,10,8,5,0,162,241,158,5,4,2,14,16,2,1,29,0,1,10,7,0,0,2,0,0,0,0,2,20,10,0,73,0,27,2,1,0,1,0,45,20,0,14,13,1,1,0,45,4,0,8,0,0,3,0,4,0,6,19,25,11,4,2,3,6,0,0,0,1,6,2,18,0,0,9,0,0,0,4,0,0,9,7,4,0,0,0,0,49,0,20,1,7,3
0,6,15,185,0,0,0,25,0,1,25,543,102,8,9,78,55,0,38,3,0,61,116,1,31,31,62,103,168,90,2,0,202,4,22,33,430,31,7,272,0,0,265,167,0,9,0,5,1,75,58,8,162,0,847,445,8,10,9,96,123,6,4,123,0,6,47,48,0,2,2,2,0,0,0,18,153,54,0,225,1,232,10,4,0,5,0,218,91,1,63,86,6,14,0,281,21,0,50,1,1,7,2,19,1,33,64,244,53,31,16,17,71,2,0,0,3,44,9,94,1,0,65,0,0,1,5,0,0,52,35,34,0,3,2,0,340,2,116,8,16,9
0,35,57,573,0,1,0,88,2,5,95,1649,156,22,35,311,276,0,145,16,1,275,421,0,121,124,300,413,745,333,9,1,887,18,101,167,1223,95,36,1180,0,2,895,642,0,17,0,24,8,373,254,19,241,847,0,815,33,25,60,415,506,25,3,348,1,18,144,207,0,5,28,1,0,0,0,70,647,197,0,601,0,712,39,55,0,12,0,654,460,2,258,264,42,57,0,1181,67,1,181,2,0,35,5,40,0,82,191,949,147,186,55,44,287,2,7,0,9,127,51,434,3,9,199,0,1,0,4,0,3,227,112,88,8,12,1,1,1462,18,480,6,47,37
0,18,27,331,0,1,0,45,2,3,45,1082,128,19,18,150,124,0,96,4,1,187,254,2,55,62,182,234,391,189,3,3,530,10,48,68,809,54,13,645,0,6,497,312,0,15,0,7,3,201,116,13,158,445,815,0,15,19,23,231,282,6,3,221,3,7,68,136,0,10,22,0,0,0,0,38,343,163,0,382,0,422,25,30,0,2,1,416,203,3,129,181,27,40,0,635,39,1,117,3,5,25,3,23,3,77,101,598,116,66,28,27,162,5,3,0,5,83,20,251,6,10,148,0,0,1,4,0,1,130,69,66,7,4,0,2,788,8,305,5,30,23
1,26,131,517,0,4,26,69,7,22,236,863,6,2,71,396,766,1,734,31,19,1467,1135,7,144,497,1129,1919,2785,1524,40,3,1793,12,426,142,638,400,64,1594,64,16,2333,583,0,29,1,46,15,469,195,18,5,8,33,15,0,27,84,996,1318,21,8,417,0,4,74,99,0,278,45,4,17,26,4,149,2063,2,2,9,5,664,63,300,16,7,58,486,639,7,844,436,1,1,326,2690,199,6,328,58,13,54,457,64,12,353,181,2477,591,189,121,72,427,2,68,35,19,131,70,818,196,265,366,0,0,0,4,134,37,403,118,127,10,11,2,8,3351,60,760,48,130,235
0,6,24,390,0,0,0,22,0,7,28,755,11,6,14,81,119,0,49,23,0,100,121,0,28,56,115,180,302,127,8,0,240,3,30,45,324,29,15,284,0,0,387,129,1,30,0,50,17,112,76,27,4,10,25,19,27,0,10,128,160,1,23,463,0,7,185,58,0,0,4,0,0,0,0,98,204,2,0,11,0,223,13,47,0,17,0,288,116,18,107,255,0,0,0,369,58,0,259,1,1,42,0,15,0,25,292,248,52,56,12,11,53,0,0,0,11,120,12,148,0,0,219,0,1,1,10,0,0,127,79,37,12,4,0,0,459,4,425,11,11,22
0,44,122,343,0,0,0,249,8,2,207,703,14,13,18,1270,1008,0,477,4,0,812,974,0,433,170,959,1150,2033,698,16,0,1383,116,419,517,545,204,95,1616,0,0,1756,891,1,15,1,16,5,1037,398,28,2,9,60,23,84,10,0,625,806,19,6,156,0,21,99,1121,0,0,7,2,0,0,0,64,1532,17,0,9,0,760,24,58,0,12,0,316,1002,1,481,263,2,4,0,1876,27,2,191,2,1,34,0,18,0,113,101,1588,423,1046,97,92,1016,0,0,0,7,116,279,668,0,0,244,0,2,0,2,0,0,405,81,190,9,43,0,0,2485,24,370,4,165,44
132,652,3017,8321,0,75,131,607,75,163,2748,15678,100,36,1310,20564,11839,16,16021,272,160,28251,27180,117,1957,3118,15884,35270,26632,16745,384,333,62597,124,6088,2327,11419,10061,2548,44809,1220,911,52702,16959,2,531,8,587,128,7020,3136,97,14,96,415,231,996,128,625,0,78181,162,131,5450,150,137,981,3104,6,6634,719,101,329,99,144,2753,42263,74,4,75,75,30234,934,3657,530,137,651,12859,13698,30,13968,9132,27,20,1703,109011,2146,33,4141,1174,978,840,9275,832,545,10884,2061,77199,7586,2312,1814,1226,7416,101,4022,345,111,2326,1405,14090,6028,4232,5054,1,9,5,54,883,742,7063,2147,1428,236,186,64,50,101372,1691,17148,1009,1786,2053
245,880,4744,12952,0,149,152,862,71,206,3174,25234,137,51,1317,30833,17731,13,23701,361,164,45836,39240,160,2569,3739,23211,53467,40610,25855,549,550,93404,173,9652,3096,16971,17464,3910,69697,1756,1407,83122,23606,3,789,6,798,169,8644,4299,114,16,123,506,282,1318,160,806,78181,0,194,164,8163,218,200,1265,4068,16,9774,947,210,495,138,290,4323,64393,60,7,115,71,50246,1635,4875,853,171,1026,19936,21596,43,17024,14699,27,15,3310,135683,3422,41,6391,1309,1620,1343,13629,1234,912,15434,2965,111457,12221,3137,2414,1757,10501,102,7690,491,86,3522,2003,20484,9870,5537,7072,1,4,2,68,1528,1193,9609,3282,2100,381,226,45,58,148709,3330,26459,1606,2263,2592
0,84,27,76,0,0,0,22,2,0,35,133,3,1,8,111,139,0,119,1,0,144,235,0,69,33,136,151,330,103,4,0,477,14,117,169,112,69,25,481,0,0,257,303,0,3,0,6,2,265,141,7,2,6,25,6,21,1,19,162,194,0,0,18,0,12,23,92,0,0,0,0,0,0,0,9,340,6,0,3,1,205,18,12,0,4,0,128,270,0,95,72,0,0,0,485,6,0,48,1,0,3,0,2,0,19,18,287,40,70,25,8,177,0,0,0,1,32,25,250,0,0,49,0,0,0,4,0,0,102,16,57,3,15,1,0,630,13,83,0,21,7
38,26,51,411,0,34,4,12,0,46,34,403,2,1,44,100,155,0,109,82,10,146,138,0,16,38,92,218,167,48,16,95,210,3,42,11,300,59,32,149,33,8,457,103,0,32,0,103,15,31,9,17,1,4,3,3,8,23,6,131,164,0,0,274,0,10,93,6,0,24,6,10,5,9,7,321,211,0,3,2,1,305,28,111,95,103,10,466,89,2,108,320,0,0,0,368,377,0,139,21,231,158,57,86,179,62,69,269,44,11,7,19,52,3,51,28,0,81,17,68,38,14,111,0,0,0,1,0,73,65,235,15,33,1,0,0,492,28,504,76,12,57
130,131,990,18184,0,148,74,240,8,245,904,27024,41,24,356,5689,3894,4,3714,966,50,8365,5991,34,553,1597,4517,9084,7978,5736,180,673,10702,17,1462,647,9952,2430,260,9852,545,149,19417,3259,0,945,0,1383,343,1780,1025,312,29,123,348,221,417,463,156,5450,8163,18,274,0,29,98,2168,871,3,1413,301,156,110,81,30,7021,10744,38,2,113,27,8037,288,1804,660,221,248,12209,3515,57,3826,14060,33,23,1158,17094,6855,8,7469,337,1577,2100,2997,1938,1304,2004,5455,14835,2237,781,686,250,1939,27,744,254,38,5802,302,3942,1101,1205,3130,1,1,12,38,357,1776,2614,3627,629,360,18,11,16,21974,364,25170,1041,467,795
2,4,40,110,0,0,0,0,0,0,75,143,0,0,0,155,115,4,87,0,0,218,147,10,42,38,166,235,191,85,0,14,251,0,89,0,115,63,10,236,0,44,349,162,0,7,0,22,0,98,88,0,0,0,1,3,0,0,0,150,218,0,0,29,0,24,70,0,3,78,91,0,0,3,0,30,291,0,0,3,0,230,23,73,4,0,7,144,89,0,140,82,0,0,0,428,23,0,32,16,22,20,0,4,16,80,18,382,8,18,22,15,67,9,85,0,6,29,11,165,54,82,150,0,0,0,5,0,16,211,24,54,3,0,8,5,499,31,127,0,14,38
7,14,53,248,0,0,0,16,2,5,45,420,4,0,10,101,152,0,101,12,1,112,141,3,37,36,130,151,246,104,6,11,302,5,64,46,307,60,25,287,9,8,341,132,0,43,0,29,13,138,62,13,1,6,18,7,4,7,21,137,200,12,10,98,24,0,113,57,2,20,44,1,5,4,0,76,242,3,0,6,1,197,21,38,4,39,2,262,111,3,129,196,0,0,3,466,60,2,133,8,31,37,15,12,18,30,66,347,45,53,19,12,70,3,16,1,2,104,16,103,8,13,131,1,0,0,28,1,8,188,91,71,33,23,3,3,486,24,349,12,19,32
18,58,276,3278,0,3,3,118,8,43,280,4209,19,15,57,809,911,4,627,123,8,1222,1002,23,249,424,986,1354,1720,772,32,102,1725,25,314,273,1993,347,98,1933,28,63,2949,858,4,168,0,385,72,626,495,121,10,47,144,68,74,185,99,981,1265,23,93,2168,70,113,0,304,13,161,217,3,1,6,0,942,1911,12,0,41,0,1606,94,356,41,121,16,2087,718,18,732,1983,3,2,0,2880,657,4,1503,34,248,558,100,247,186,431,931,2241,311,338,163,126,658,17,148,11,12,1003,101,944,135,122,684,0,3,3,60,0,145,693,768,232,103,35,10,16,3345,57,3303,94,124,195
0,159,431,1656,0,1,0,666,40,9,826,3300,49,33,101,1354,3074,0,1774,19,9,3689,4186,0,1478,1043,4055,5647,11761,3867,61,1,6969,172,1260,1988,2371,932,384,8058,0,0,7105,3785,1,58,3,61,23,3604,1795,50,7,48,207,136,99,58,1121,3104,4068,92,6,871,0,57,304,0,0,0,31,2,0,0,0,236,7253,29,0,53,3,3730,139,326,0,27,0,1513,3412,3,2480,1066,9,14,0,9747,115,12,879,11,9,86,0,87,2,963,404,8348,1661,2036,379,504,3099,0,0,0,12,384,623,3668,0,0,795,0,8,4,8,0,0,1626,344,677,25,93,1,0,12109,80,1784,30,499,268
0,0,3,45,0,0,0,0,0,0,1,40,0,0,0,8,10,0,4,0,0,10,5,0,0,1,8,15,14,5,0,5,11,0,4,0,20,5,8,14,0,1,24,6,0,5,0,2,0,4,1,0,0,0,0,0,0,0,0,6,16,0,0,3,3,2,13,0,0,7,0,0,0,0,0,13,19,0,0,0,0,12,3,3,0,0,0,21,0,0,1,16,0,0,0,27,8,0,12,0,22,2,0,2,13,4,6,26,0,0,0,0,4,0,3,1,0,0,0,8,1,1,9,0,0,0,0,0,0,5,9,8,0,0,0,0,38,0,22,0,0,1
57,349,907,2108,0,31,32,0,0,33,478,3572,0,0,187,8432,3482,3,9802,68,29,12998,12845,39,506,434,5634,10811,7413,4285,86,127,14028,0,4205,0,2776,5620,828,9149,553,1096,16191,3453,0,160,0,179,23,1778,311,3,0,2,5,10,278,0,0,6634,9774,0,24,1413,78,20,161,0,7,0,316,52,249,22,107,836,19417,0,0,5,12,5941,219,810,207,28,316,4004,2535,5,3531,2963,0,0,472,20436,650,3,1055,195,446,310,3251,210,223,9478,494,18917,3586,101,1343,468,3232,29,2864,92,16,805,805,4468,4920,1713,1217,0,0,0,6,660,291,1524,572,251,52,0,3,6,23677,526,5438,533,930,664
11,47,134,449,0,3,3,9,0,4,150,974,2,3,33,621,517,3,498,9,4,830,862,27,100,119,600,870,873,488,14,46,1232,3,325,26,659,393,98,1012,50,105,1374,597,0,54,0,108,3,426,218,29,2,2,28,22,45,4,7,719,947,0,6,301,91,44,217,31,0,316,0,9,0,4,18,135,1337,1,2,9,0,944,91,227,62,8,40,937,407,5,623,542,0,0,0,2064,142,2,195,67,100,113,117,60,74,371,117,1690,254,83,177,101,344,32,224,25,22,183,65,491,187,182,382,0,0,0,28,0,70,491,141,186,30,3,14,16,2312,84,1060,25,42,96
21,11,34,300,0,18,3,2,0,10,24,480,1,0,11,150,91,0,141,27,2,199,165,0,2,44,53,206,206,119,0,150,234,0,33,2,294,78,104,142,43,23,422,55,0,38,0,16,9,13,1,1,0,2,1,0,4,0,2,101,210,0,10,156,0,1,3,2,0,52,9,0,0,0,14,153,309,0,0,0,0,263,6,33,87,3,4,586,69,4,127,173,0,0,0,408,76,0,181,8,253,185,66,38,253,71,50,315,31,1,17,21,41,1,93,15,0,19,18,79,98,0,73,0,0,0,0,0,33,47,128,1,19,1,0,0,543,12,304,33,0,23
