Amla,Biscuit,Bite,Bubble Gum,Burfi,Candy,Cham cham,Chewing Gum,Chikki,Choco Chips,Chocolate,Chocolate Bag,Chocolate Bar,Chocolate Gift Box,Chocolate Gift Pack,Chocolate Share Bags,Dark Chocolate,Dark Chocolate Bar,Dates,Digestive Tablets,Filled Bar,Filled Bars,Frozen Dessert,Gajak,Gift Box,Gift Pack,Gujia,Gujiya,Gulab Jamun,Gulkand,Gum,Halwa,Ice Cream,Jelly,Katli,Kulfi,Laddu,Lollipop,Lozenges,Marshmallow,Milk Chocolate,Mouth Freshener,Pak,Papad,Patisa,Petha,Raj Bhog,Ras Malai,Rasgulla,Rewdi,Rewri,Sauce,Shaped Chocolates,Snack,Soan Papdi,Stick Kulfi,Sundae,Sweet,Sweets,Syrup,Toffee,Toffee Pack,Wafer Bar,Wafer Chocolate,Wafer Roll,Wafers,White Chocolate
0,0,8,0,10,1628,0,341,45,0,3462,0,8959,0,276,223,1324,41,0,176,0,196,972,0,0,3,0,0,36,0,0,0,1019,0,51,63,117,234,0,0,1006,354,30,12,4,33,14,8,60,0,0,0,3669,0,10,233,2,0,3,153,3,3,1761,1527,3,236,0
0,0,0,0,1,36,0,9,0,0,78,0,232,0,8,11,48,1,0,4,196,0,28,0,0,0,0,0,0,0,0,0,27,0,1,4,2,3,0,0,12,9,0,0,0,0,0,0,1,0,0,0,85,0,0,3,0,0,0,4,0,0,21,39,0,3,0
0,0,24,0,31,2241,16,409,73,0,2729,0,5132,0,485,228,1268,48,0,429,972,28,0,1,1,4,0,1,257,0,0,8,12978,0,201,865,399,266,0,0,365,595,87,13,15,91,59,36,362,1,0,0,2663,0,37,2722,7,1,15,1232,2,3,1026,558,1,368,0
0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,1,0,0,12,0,8,0,13,1,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,22,0,14,149,9,11,16,0,167,0,200,0,44,14,49,2,0,35,36,0,257,2,0,0,0,0,0,0,0,9,294,0,133,17,225,19,0,0,13,41,56,0,4,54,57,19,733,0,1,0,133,0,33,40,0,1,12,26,0,0,69,27,0,33,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
