Agar Agar Powder,Bagel,Bakery Cookies,Baking Powder,Baking Soda,Banana Bread,Biscuit,Biscuits Gift Pack,Bourbon Biscuits,Bread Crumbs,Brownie,Butter Cookies,Cake,Cake Decoration,Cake Mix,Candy,Center Filled Biscuits,Choco Pie,Chocolate Cake,Chocolate Cookies,Cocoa Powder,Coconut Milk Powder,Color,Combo,Cookie Mix,Cookies,Cookies Gift Pack,Corn Flour,Cracker,Crackers,Cream Biscuits,Cream Roll,Crisps,Croissant,Cupcake,Custard Mix,Custard Powder,Drip,Dust,Essence,Food Colour,Fresh Bakery Cake,Fresh Bakery Cookies,Frosting,Fruit Cake,Gelatin,Gift Box,Glucose & Milk Biscuits,Gluten,Gum Powder,Healthy & Digestive,Jelly,Lavash,Loaf,Marie Biscuits,Milk,Mix,Multigrain Bread,Pancake Mix,Paste,Pastry,Pie,Pizza Base,Potato Biscuits,Powder,Puff Roll,Rusk,Sandwich Cream Biscuits,Sheets,Shortening,Sourdough,Sprinkles,Sweet & Salty Biscuits,Sweets,Swiss Roll,Toast,Topping,Wafer Bar,Wafer Roll,Wafers,Waffle,Wheat Bread,Yeast,Yeast Extract,Yeast Flakes
0,0,45,9,6,1,828,6,42,0,7,6,529,0,22,0,87,471,226,7,4,0,1,55,0,713,0,0,14,1,100,1,2,105,59,0,14,1,0,12,2,3,14,0,470,0,6,22,0,0,0,2,3,0,97,0,1,0,11,0,0,17,0,11,1,614,104,449,0,0,0,3,114,2,161,1,4,0,133,204,3,2,0,0,0
0,0,171,21,38,0,4283,22,462,0,38,49,512,1,25,87,0,1162,377,23,13,0,0,66,1,3593,0,0,17,7,676,3,2,146,34,0,48,0,0,22,3,1,14,0,748,0,4,123,0,0,13,1,4,1,616,0,5,0,20,0,1,10,2,65,6,723,524,3162,0,0,0,14,645,1,227,0,3,1,166,352,5,0,2,0,0
0,0,394,54,109,3,9395,32,451,0,81,68,2474,0,97,471,1162,0,1123,28,33,0,1,280,3,7878,0,0,57,14,1154,21,13,639,282,0,151,0,0,79,15,5,36,0,2867,0,15,203,0,0,21,15,23,1,1230,0,10,4,83,1,0,167,6,161,2,2775,1397,5922,0,0,0,39,1217,4,655,6,7,6,797,1092,9,6,8,0,0
0,0,169,41,68,1,7593,8,252,0,111,55,2643,0,83,226,377,1123,0,12,22,0,0,168,0,4172,0,0,11,4,792,21,7,907,167,0,107,1,0,31,11,10,15,0,10875,0,2,208,0,0,8,18,1,3,848,0,8,0,47,2,0,11,2,78,1,2923,1007,3250,0,0,0,13,867,0,1082,0,6,0,276,821,10,3,7,0,0
0,0,48,5,3,1,265,5,10,0,2,4,53,0,1,7,23,28,12,0,1,0,0,19,3,454,0,0,11,2,21,1,1,27,13,0,7,0,0,4,1,1,19,0,54,0,6,11,0,0,1,4,2,2,30,0,1,1,10,0,0,3,1,12,0,101,34,95,0,0,0,0,36,0,10,0,0,0,12,22,2,0,2,0,0
0,0,5,666,411,0,347,3,11,0,0,4,27,1,38,4,13,33,22,1,0,0,0,3,0,159,0,0,2,0,23,2,0,22,1,0,107,1,0,665,28,0,2,0,41,0,0,13,0,0,2,3,1,1,91,0,3,1,17,4,0,0,1,3,29,34,56,192,0,0,0,84,35,0,5,0,20,0,9,25,2,1,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,78,11,12,1,1107,19,38,0,20,6,327,0,13,55,66,280,168,19,3,0,0,0,0,761,0,0,12,0,116,26,2,349,61,0,17,0,0,16,3,6,21,0,648,0,3,25,0,0,6,3,2,0,132,0,1,0,21,0,0,59,2,43,0,1023,203,438,0,0,0,6,162,4,183,0,0,6,82,205,3,2,4,0,0
0,0,3,0,0,0,6,0,0,0,3,0,1,0,10,0,1,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,3121,346,526,11,70377,252,1837,0,213,901,5198,1,279,713,3593,7878,4172,454,159,0,1,761,9,0,1,0,185,85,5762,46,45,1760,451,0,730,0,1,347,58,30,377,0,10380,0,61,2503,0,0,204,59,74,35,9684,0,37,23,370,4,1,179,24,1004,21,7979,9825,25621,0,1,1,121,9116,19,1512,17,31,13,1398,3503,52,44,44,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,2,3,1,319,3,5,0,2,3,33,0,4,14,17,57,11,11,2,0,0,12,0,185,0,0,0,8,17,1,2,25,49,0,5,0,0,3,0,0,4,0,66,0,0,5,0,0,8,2,5,0,62,0,0,1,10,0,0,2,1,19,0,99,83,94,0,0,0,1,78,1,12,0,0,1,24,65,2,0,0,0,0
0,0,11,0,4,0,123,0,5,0,1,0,8,0,1,1,7,14,4,2,0,0,0,0,0,85,0,0,8,0,3,0,0,2,1,0,0,0,0,1,0,1,23,0,12,0,1,3,0,0,8,0,51,4,16,0,0,3,1,0,0,1,1,6,0,24,21,27,0,0,1,0,34,0,4,1,0,0,3,8,0,5,0,0,0
0,0,266,74,132,3,18368,25,783,0,30,200,766,0,48,100,676,1154,792,21,23,0,0,116,0,5762,0,0,17,3,0,6,9,493,71,0,185,0,0,68,18,1,16,0,3400,0,2,395,0,0,31,9,6,4,2470,0,5,2,42,0,0,25,4,233,2,1537,2295,8040,0,0,1,29,2714,0,590,3,4,6,202,1056,5,1,6,0,0
0,0,5,0,0,0,82,0,0,0,1,0,36,0,0,1,3,21,21,1,2,0,0,26,0,46,0,0,1,0,6,0,0,110,4,0,1,0,0,2,1,1,0,0,67,0,0,3,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,93,11,40,0,0,0,0,7,1,12,0,0,0,7,13,0,0,0,0,0
0,0,2,0,0,0,100,0,1,0,1,1,4,0,0,2,2,13,7,1,0,0,0,2,0,45,0,0,2,0,9,0,0,9,1,0,0,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0,1,0,13,0,0,0,1,0,0,1,0,4,0,8,13,23,0,0,0,1,17,0,1,0,0,0,0,4,0,0,0,0,0
0,0,157,37,37,8,3460,6,105,0,48,47,1239,0,42,105,146,639,907,27,22,0,0,349,0,1760,0,0,25,2,493,110,9,0,203,0,58,0,0,45,4,8,12,0,3334,0,1,138,0,0,9,4,7,6,394,0,5,6,51,0,0,47,7,68,2,5705,565,1478,0,0,9,7,443,4,876,3,1,3,126,623,9,8,3,0,0
0,0,58,4,13,0,584,5,18,0,38,0,473,0,22,59,34,282,167,13,1,0,0,61,0,451,0,0,49,1,71,4,1,203,0,0,19,0,0,9,1,11,7,0,472,0,3,18,0,0,10,3,0,3,83,0,1,1,13,0,0,103,0,12,0,873,104,285,0,0,0,9,96,2,158,1,2,0,41,120,3,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,433,298,0,1979,3,31,0,7,15,125,1,65,14,48,151,107,7,107,0,1,17,0,730,0,0,5,0,185,1,0,58,19,0,0,1,0,317,29,1,0,0,456,0,1,46,0,0,2,149,2,0,383,0,134,0,48,2,0,3,1,15,16,189,417,574,0,0,1,109,219,3,32,1,7,0,49,118,5,1,19,0,0
0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,20,1265,871,2,775,2,8,0,2,5,48,0,77,12,22,79,31,4,665,0,10,16,2,347,0,0,3,1,68,2,0,45,9,0,317,2,1,0,338,0,2,0,116,0,1,17,0,0,5,17,2,2,136,0,11,1,57,5,0,5,4,9,63,114,131,342,0,0,0,194,96,1,20,0,25,0,16,58,6,1,37,0,0
0,0,6,60,70,0,162,0,1,0,1,1,6,3,18,2,3,15,11,1,28,0,6,3,0,58,0,0,0,0,18,1,0,4,1,0,29,1,1,338,0,0,0,0,31,0,0,0,0,0,0,7,0,1,28,0,3,0,5,8,0,0,0,0,31,24,30,63,0,0,0,43,16,0,4,0,5,0,2,9,0,0,6,0,0
0,0,7,0,1,3,40,1,4,0,7,0,28,0,4,3,1,5,10,1,0,0,0,6,0,30,0,0,0,1,1,1,0,8,11,0,1,0,0,0,0,0,12,0,13,0,2,1,0,0,0,0,1,1,5,0,0,0,2,0,0,1,1,0,0,32,7,13,0,0,1,0,4,0,3,0,0,0,3,4,0,2,0,0,0
